,Sample,Assembler,Reference,Reference Length,Gap Start,Gap End
0,LHS,VelvetOptimiser,Bacillus_subtilis,4045677.0,2250,2854
1,LHS,VelvetOptimiser,Bacillus_subtilis,4045677.0,5175,5320
2,LHS,VelvetOptimiser,Bacillus_subtilis,4045677.0,13501,13800
3,LHS,VelvetOptimiser,Bacillus_subtilis,4045677.0,14909,15948
4,LHS,VelvetOptimiser,Bacillus_subtilis,4045677.0,29114,29116
5,LHS,VelvetOptimiser,Bacillus_subtilis,4045677.0,37219,37221
6,LHS,VelvetOptimiser,Bacillus_subtilis,4045677.0,38225,39095
7,LHS,VelvetOptimiser,Bacillus_subtilis,4045677.0,42620,43299
8,LHS,VelvetOptimiser,Bacillus_subtilis,4045677.0,50945,52804
9,LHS,VelvetOptimiser,Bacillus_subtilis,4045677.0,53967,55226
10,LHS,VelvetOptimiser,Bacillus_subtilis,4045677.0,56601,57849
11,LHS,VelvetOptimiser,Bacillus_subtilis,4045677.0,71021,71023
12,LHS,VelvetOptimiser,Bacillus_subtilis,4045677.0,73199,73722
13,LHS,VelvetOptimiser,Bacillus_subtilis,4045677.0,78572,80483
14,LHS,VelvetOptimiser,Bacillus_subtilis,4045677.0,81987,82376
15,LHS,VelvetOptimiser,Bacillus_subtilis,4045677.0,86103,87686
16,LHS,VelvetOptimiser,Bacillus_subtilis,4045677.0,89042,89633
17,LHS,VelvetOptimiser,Bacillus_subtilis,4045677.0,91278,91379
18,LHS,VelvetOptimiser,Bacillus_subtilis,4045677.0,92830,93169
19,LHS,VelvetOptimiser,Bacillus_subtilis,4045677.0,95829,96541
20,LHS,VelvetOptimiser,Bacillus_subtilis,4045677.0,98661,98663
21,LHS,VelvetOptimiser,Bacillus_subtilis,4045677.0,101178,101882
22,LHS,VelvetOptimiser,Bacillus_subtilis,4045677.0,104131,104133
23,LHS,VelvetOptimiser,Bacillus_subtilis,4045677.0,106132,106134
24,LHS,VelvetOptimiser,Bacillus_subtilis,4045677.0,109965,110493
25,LHS,VelvetOptimiser,Bacillus_subtilis,4045677.0,113256,113679
26,LHS,VelvetOptimiser,Bacillus_subtilis,4045677.0,118912,119091
27,LHS,VelvetOptimiser,Bacillus_subtilis,4045677.0,121343,121549
28,LHS,VelvetOptimiser,Bacillus_subtilis,4045677.0,123563,123695
