,Assembler,Reference,Contig,Contig Length,Phred Quality Score
0,BCALM2,Escherichia_coli,956490,1811,60
1,BCALM2,Escherichia_coli,959561,1682,60
2,BCALM2,Escherichia_coli,959649,2568,60
3,BCALM2,Escherichia_coli,962238,1739,60
4,BCALM2,Escherichia_coli,962973,1625,60
5,BCALM2,Escherichia_coli,964438,1441,60
6,BCALM2,Escherichia_coli,970558,1321,60
7,BCALM2,Escherichia_coli,970748,1070,60
8,BCALM2,Escherichia_coli,975268,1107,60
9,BCALM2,Escherichia_coli,977915,1473,60
10,BCALM2,Escherichia_coli,978820,1150,60
11,BCALM2,Escherichia_coli,979813,1288,60
12,BCALM2,Escherichia_coli,980780,1095,60
13,BCALM2,Escherichia_coli,981630,1023,60
14,BCALM2,Escherichia_coli,982523,1253,60
15,BCALM2,Escherichia_coli,983657,1026,60
16,BCALM2,Escherichia_coli,985056,1854,60
17,BCALM2,Escherichia_coli,993249,1951,60
18,BCALM2,Escherichia_coli,993735,1954,60
19,BCALM2,Escherichia_coli,996043,1193,60
20,BCALM2,Escherichia_coli,997364,1196,60
21,BCALM2,Escherichia_coli,1000179,1221,60
22,BCALM2,Escherichia_coli,1000338,2254,60
23,BCALM2,Escherichia_coli,1001001,1437,60
24,BCALM2,Escherichia_coli,1001216,2279,60
25,BCALM2,Escherichia_coli,1001352,1502,60
26,BCALM2,Escherichia_coli,1002244,1158,60
27,BCALM2,Escherichia_coli,1002750,1182,60
28,BCALM2,Escherichia_coli,1007811,1124,60
29,BCALM2,Escherichia_coli,1008381,1743,60
30,BCALM2,Escherichia_coli,1011711,1219,60
31,BCALM2,Escherichia_coli,1013719,1596,60
32,BCALM2,Escherichia_coli,1021392,1555,60
33,BCALM2,Escherichia_coli,1023721,3151,60
34,BCALM2,Escherichia_coli,1026269,1049,60
35,BCALM2,Escherichia_coli,1026507,1129,60
36,BCALM2,Escherichia_coli,1027077,1317,60
37,BCALM2,Escherichia_coli,1030766,1396,60
38,BCALM2,Escherichia_coli,1032916,1083,60
39,BCALM2,Escherichia_coli,1033497,1146,60
40,BCALM2,Escherichia_coli,1034157,1172,60
41,BCALM2,Escherichia_coli,1038319,1656,60
42,BCALM2,Escherichia_coli,1040375,1511,60
43,BCALM2,Escherichia_coli,1042119,1899,60
44,BCALM2,Escherichia_coli,1044210,1257,60
45,BCALM2,Escherichia_coli,1046625,1244,60
46,BCALM2,Escherichia_coli,1048750,1298,60
47,BCALM2,Escherichia_coli,1048985,1139,60
