Reference,Breadth of Coverage,Contigs
Bacillus_subtilis,0.9797297213791413,40
Enterococcus_faecalis,0.9680121403307523,54
Escherichia_coli_plasmid,1.0,1
Escherichia_coli,0.9498778075617037,338
Lactobacillus_fermentum,0.9297267196862701,103
Listeria_monocytogenes,0.9826771137791068,29
Pseudomonas_aeruginosa,0.980493586147905,203
Salmonella_enterica,0.9585606038641558,327
Staphylococcus_aureus,0.9713945225431995,85
Staphylococcus_aureus_plasmid1,1.0,1
Staphylococcus_aureus_plasmid2,0.0,0
Staphylococcus_aureus_plasmid3,0.4553959238222519,1
