,Sample,Assembler,Reference,Reference Length,Gap Start,Gap End
0,EMS,SKESA,Bacillus_subtilis,4045677.0,38247,38454
1,EMS,SKESA,Bacillus_subtilis,4045677.0,208998,210288
2,EMS,SKESA,Bacillus_subtilis,4045677.0,233417,234605
3,EMS,SKESA,Bacillus_subtilis,4045677.0,371779,372944
4,EMS,SKESA,Bacillus_subtilis,4045677.0,642436,642817
5,EMS,SKESA,Bacillus_subtilis,4045677.0,645254,645722
6,EMS,SKESA,Bacillus_subtilis,4045677.0,801837,807233
7,EMS,SKESA,Bacillus_subtilis,4045677.0,1059685,1060887
8,EMS,SKESA,Bacillus_subtilis,4045677.0,1355151,1356430
9,EMS,SKESA,Bacillus_subtilis,4045677.0,1671363,1672658
10,EMS,SKESA,Bacillus_subtilis,4045677.0,1710351,1716570
11,EMS,SKESA,Bacillus_subtilis,4045677.0,1754827,1756115
12,EMS,SKESA,Bacillus_subtilis,4045677.0,2019278,2020499
13,EMS,SKESA,Bacillus_subtilis,4045677.0,2416096,2416478
14,EMS,SKESA,Bacillus_subtilis,4045677.0,2788837,2793942
15,EMS,SKESA,Bacillus_subtilis,4045677.0,2809384,2814554
16,EMS,SKESA,Bacillus_subtilis,4045677.0,2869649,2880556
17,EMS,SKESA,Bacillus_subtilis,4045677.0,2940181,2955800
18,EMS,SKESA,Bacillus_subtilis,4045677.0,3078098,3079396
19,EMS,SKESA,Bacillus_subtilis,4045677.0,3163096,3163788
20,EMS,SKESA,Bacillus_subtilis,4045677.0,3173860,3174552
21,EMS,SKESA,Bacillus_subtilis,4045677.0,3387320,3387539
22,EMS,SKESA,Bacillus_subtilis,4045677.0,3404351,3409262
23,EMS,SKESA,Bacillus_subtilis,4045677.0,3438841,3440131
24,EMS,SKESA,Bacillus_subtilis,4045677.0,3697196,3702571
25,EMS,SKESA,Enterococcus_faecalis,2845392.0,386183,386307
26,EMS,SKESA,Enterococcus_faecalis,2845392.0,470348,470458
27,EMS,SKESA,Enterococcus_faecalis,2845392.0,539015,539803
28,EMS,SKESA,Enterococcus_faecalis,2845392.0,668064,668087
29,EMS,SKESA,Enterococcus_faecalis,2845392.0,703813,703836
30,EMS,SKESA,Enterococcus_faecalis,2845392.0,971509,971730
31,EMS,SKESA,Enterococcus_faecalis,2845392.0,1040347,1040874
32,EMS,SKESA,Enterococcus_faecalis,2845392.0,1087390,1088705
33,EMS,SKESA,Enterococcus_faecalis,2845392.0,1089846,1089998
34,EMS,SKESA,Enterococcus_faecalis,2845392.0,1091249,1092870
35,EMS,SKESA,Enterococcus_faecalis,2845392.0,1121974,1123491
36,EMS,SKESA,Enterococcus_faecalis,2845392.0,1348256,1348413
37,EMS,SKESA,Enterococcus_faecalis,2845392.0,1361989,1367999
38,EMS,SKESA,Enterococcus_faecalis,2845392.0,1380325,1380407
39,EMS,SKESA,Enterococcus_faecalis,2845392.0,1403546,1405924
40,EMS,SKESA,Enterococcus_faecalis,2845392.0,1419005,1419137
41,EMS,SKESA,Enterococcus_faecalis,2845392.0,1438712,1439810
42,EMS,SKESA,Enterococcus_faecalis,2845392.0,1448512,1448619
43,EMS,SKESA,Enterococcus_faecalis,2845392.0,1563227,1563917
44,EMS,SKESA,Enterococcus_faecalis,2845392.0,1577160,1579729
45,EMS,SKESA,Enterococcus_faecalis,2845392.0,1623218,1623749
46,EMS,SKESA,Enterococcus_faecalis,2845392.0,1685120,1686520
47,EMS,SKESA,Enterococcus_faecalis,2845392.0,1716890,1719298
48,EMS,SKESA,Enterococcus_faecalis,2845392.0,1782275,1782448
49,EMS,SKESA,Enterococcus_faecalis,2845392.0,1805217,1812244
50,EMS,SKESA,Enterococcus_faecalis,2845392.0,1828659,1828769
51,EMS,SKESA,Enterococcus_faecalis,2845392.0,1891881,1891986
52,EMS,SKESA,Enterococcus_faecalis,2845392.0,2076219,2076392
53,EMS,SKESA,Enterococcus_faecalis,2845392.0,2092399,2092657
54,EMS,SKESA,Enterococcus_faecalis,2845392.0,2122712,2123776
55,EMS,SKESA,Enterococcus_faecalis,2845392.0,2163252,2163473
56,EMS,SKESA,Enterococcus_faecalis,2845392.0,2188283,2189683
57,EMS,SKESA,Enterococcus_faecalis,2845392.0,2317221,2317395
58,EMS,SKESA,Enterococcus_faecalis,2845392.0,2318891,2319770
59,EMS,SKESA,Enterococcus_faecalis,2845392.0,2379625,2379738
60,EMS,SKESA,Enterococcus_faecalis,2845392.0,2382709,2382822
61,EMS,SKESA,Enterococcus_faecalis,2845392.0,2420793,2420795
62,EMS,SKESA,Enterococcus_faecalis,2845392.0,2424552,2429890
63,EMS,SKESA,Enterococcus_faecalis,2845392.0,2449208,2449735
64,EMS,SKESA,Enterococcus_faecalis,2845392.0,2629320,2629343
65,EMS,SKESA,Enterococcus_faecalis,2845392.0,2630814,2630837
66,EMS,SKESA,Enterococcus_faecalis,2845392.0,2669428,2669590
67,EMS,SKESA,Enterococcus_faecalis,2845392.0,2788286,2788447
68,EMS,SKESA,Escherichia_coli,4765434.0,14445,14712
69,EMS,SKESA,Escherichia_coli,4765434.0,15937,16593
70,EMS,SKESA,Escherichia_coli,4765434.0,18994,19184
71,EMS,SKESA,Escherichia_coli,4765434.0,28794,29405
