,Sample,Assembler,Reference,Reference Length,Gap Start,Gap End
0,ERR2984773,GATBMiniaPipeline,Bacillus_subtilis,4045677.0,209101,210147
1,ERR2984773,GATBMiniaPipeline,Bacillus_subtilis,4045677.0,233558,234464
2,ERR2984773,GATBMiniaPipeline,Bacillus_subtilis,4045677.0,371887,372843
3,ERR2984773,GATBMiniaPipeline,Bacillus_subtilis,4045677.0,642285,642709
4,ERR2984773,GATBMiniaPipeline,Bacillus_subtilis,4045677.0,645219,645618
5,ERR2984773,GATBMiniaPipeline,Bacillus_subtilis,4045677.0,801720,807094
6,ERR2984773,GATBMiniaPipeline,Bacillus_subtilis,4045677.0,1059688,1060784
7,ERR2984773,GATBMiniaPipeline,Bacillus_subtilis,4045677.0,1355276,1356321
8,ERR2984773,GATBMiniaPipeline,Bacillus_subtilis,4045677.0,1710472,1716460
9,ERR2984773,GATBMiniaPipeline,Bacillus_subtilis,4045677.0,1754928,1755996
10,ERR2984773,GATBMiniaPipeline,Bacillus_subtilis,4045677.0,2019418,2020358
11,ERR2984773,GATBMiniaPipeline,Bacillus_subtilis,4045677.0,2788803,2793957
12,ERR2984773,GATBMiniaPipeline,Bacillus_subtilis,4045677.0,2809525,2814178
13,ERR2984773,GATBMiniaPipeline,Bacillus_subtilis,4045677.0,2871433,2880415
14,ERR2984773,GATBMiniaPipeline,Bacillus_subtilis,4045677.0,2940283,2942402
15,ERR2984773,GATBMiniaPipeline,Bacillus_subtilis,4045677.0,2944042,2944918
16,ERR2984773,GATBMiniaPipeline,Bacillus_subtilis,4045677.0,2945982,2955683
17,ERR2984773,GATBMiniaPipeline,Bacillus_subtilis,4045677.0,3078218,3079252
18,ERR2984773,GATBMiniaPipeline,Bacillus_subtilis,4045677.0,3163207,3163647
19,ERR2984773,GATBMiniaPipeline,Bacillus_subtilis,4045677.0,3173961,3174411
20,ERR2984773,GATBMiniaPipeline,Bacillus_subtilis,4045677.0,3387430,3387438
21,ERR2984773,GATBMiniaPipeline,Bacillus_subtilis,4045677.0,3404538,3409332
22,ERR2984773,GATBMiniaPipeline,Bacillus_subtilis,4045677.0,3438843,3439990
23,ERR2984773,GATBMiniaPipeline,Bacillus_subtilis,4045677.0,3697337,3702428
24,ERR2984773,GATBMiniaPipeline,Enterococcus_faecalis,2845392.0,539148,539684
