,index,Sample,Assembler,Contig,Contig Len,Mapped,#N
0,0,LHS,SKESA,Contig_1_41092.9_Circ,6337,Staphylococcus_aureus_plasmid1,0
1,1,LHS,SKESA,Contig_2_172.332,1101,Staphylococcus_aureus,0
2,2,LHS,SKESA,Contig_10_191.777,6456,Lactobacillus_fermentum,0
3,3,LHS,SKESA,Contig_13_189.306,1113,Lactobacillus_fermentum,0
4,4,LHS,SKESA,Contig_14_169.363,1984,Staphylococcus_aureus,0
5,5,LHS,SKESA,Contig_18_68.3338,6069,Bacillus_subtilis,0
6,6,LHS,SKESA,Contig_22_42.1698,1074,Salmonella_enterica,0
7,7,LHS,SKESA,Contig_24_143.664,3233,Enterococcus_faecalis,0
8,8,LHS,SKESA,Contig_25_31.3829,1156,Listeria_monocytogenes,0
9,9,LHS,SKESA,Contig_30_24.5783,1220,Escherichia_coli,0
10,10,LHS,SKESA,Contig_31_35.8058,1220,Salmonella_enterica,0
11,11,LHS,SKESA,Contig_33_144.416,1704,Enterococcus_faecalis,0
12,12,LHS,SKESA,Contig_35_143.898,3615,Enterococcus_faecalis,0
13,13,LHS,SKESA,Contig_41_147.557,2051,Enterococcus_faecalis,0
14,14,LHS,SKESA,Contig_42_68.866,10523,Bacillus_subtilis,0
15,15,LHS,SKESA,Contig_44_169.209,3655,Staphylococcus_aureus,0
16,16,LHS,SKESA,Contig_47_140.674,1637,Enterococcus_faecalis,0
17,17,LHS,SKESA,Contig_49_25.5265,1192,Escherichia_coli,0
18,18,LHS,SKESA,Contig_51_68.8242,1715,Bacillus_subtilis,0
19,19,LHS,SKESA,Contig_52_168.375,1480,Staphylococcus_aureus,0
20,20,LHS,SKESA,Contig_55_189.346,1045,Lactobacillus_fermentum,0
21,21,LHS,SKESA,Contig_63_170.019,1615,Staphylococcus_aureus,0
22,22,LHS,SKESA,Contig_64_64.2895,1063,Pseudomonas_aeruginosa,0
23,23,LHS,SKESA,Contig_65_71.1574,1132,Bacillus_subtilis,0
24,24,LHS,SKESA,Contig_66_32.3944,2606,Listeria_monocytogenes,0
25,25,LHS,SKESA,Contig_67_191.844,1048,Lactobacillus_fermentum,0
