,Assembler,Reference,Contig,Contig Length,Phred Quality Score
0,VelvetOptimiser,Bacillus_subtilis,NODE_875875_length_1077_cov_10.892293,1105,60
1,VelvetOptimiser,Bacillus_subtilis,NODE_2166113_length_1001_cov_11.856144,1029,60
2,VelvetOptimiser,Bacillus_subtilis,NODE_2190533_length_1019_cov_8.620216,1047,60
3,VelvetOptimiser,Bacillus_subtilis,NODE_2202235_length_1009_cov_9.879088,1037,60
4,VelvetOptimiser,Bacillus_subtilis,NODE_2330232_length_1147_cov_11.998257,1175,60
5,VelvetOptimiser,Bacillus_subtilis,NODE_2503343_length_1078_cov_10.983302,1106,60
6,VelvetOptimiser,Bacillus_subtilis,NODE_2599809_length_1192_cov_9.489933,1220,60
7,VelvetOptimiser,Bacillus_subtilis,NODE_2652668_length_1104_cov_12.181159,1132,60
8,VelvetOptimiser,Bacillus_subtilis,NODE_2705132_length_1045_cov_11.540669,1073,60
9,VelvetOptimiser,Bacillus_subtilis,NODE_2755241_length_1115_cov_11.042152,1143,60
10,VelvetOptimiser,Bacillus_subtilis,NODE_2764959_length_1128_cov_10.299645,1156,60
11,VelvetOptimiser,Bacillus_subtilis,NODE_2774188_length_983_cov_8.606307,1011,60
12,VelvetOptimiser,Bacillus_subtilis,NODE_2824200_length_1433_cov_11.398465,1461,60
13,VelvetOptimiser,Bacillus_subtilis,NODE_2927547_length_987_cov_10.035461,1015,60
14,VelvetOptimiser,Bacillus_subtilis,NODE_3051347_length_1036_cov_13.567568,1064,60
15,VelvetOptimiser,Bacillus_subtilis,NODE_3122473_length_1136_cov_18.144365,1164,60
16,VelvetOptimiser,Bacillus_subtilis,NODE_3163373_length_1023_cov_13.210166,1051,60
17,VelvetOptimiser,Bacillus_subtilis,NODE_3189957_length_1059_cov_12.225684,1087,60
18,VelvetOptimiser,Bacillus_subtilis,NODE_3793864_length_1123_cov_11.578807,1151,60
19,VelvetOptimiser,Bacillus_subtilis,NODE_4071952_length_1000_cov_13.852000,1028,60
20,VelvetOptimiser,Bacillus_subtilis,NODE_4235832_length_1032_cov_12.169574,1060,60
21,VelvetOptimiser,Salmonella_enterica,NODE_3030908_length_1047_cov_3.847183,1075,60
