,Assembler,Reference,Contig,Contig Length,Phred Quality Score
0,MEGAHIT,Bacillus_subtilis,k141_5438,60090,60
1,MEGAHIT,Bacillus_subtilis,k141_10436,381605,34.44893489279737
2,MEGAHIT,Bacillus_subtilis,k141_16035,137395,51.37970928418682
3,MEGAHIT,Bacillus_subtilis,k141_10532,417210,29.65216274561445
4,MEGAHIT,Bacillus_subtilis,k141_10740,38660,17.403065246727095
5,MEGAHIT,Bacillus_subtilis,k141_1458,122698,60
6,MEGAHIT,Bacillus_subtilis,k141_10754,38542,60
7,MEGAHIT,Bacillus_subtilis,k141_16214,83267,2.3724571184232217
8,MEGAHIT,Bacillus_subtilis,k141_6362,40423,24.543401972330873
9,MEGAHIT,Bacillus_subtilis,k141_1665,229796,29.20433382700255
10,MEGAHIT,Bacillus_subtilis,k141_10827,230214,27.060335288268536
11,MEGAHIT,Bacillus_subtilis,k141_2287,1092,60
12,MEGAHIT,Bacillus_subtilis,k141_7233,1213,21.29618291427247
13,MEGAHIT,Bacillus_subtilis,k141_2571,43525,60
14,MEGAHIT,Bacillus_subtilis,k141_2638,215380,42.91812687467058
15,MEGAHIT,Bacillus_subtilis,k141_7979,1643,60
16,MEGAHIT,Bacillus_subtilis,k141_8082,20609,20.83607997862449
17,MEGAHIT,Bacillus_subtilis,k141_11111,83985,60
18,MEGAHIT,Bacillus_subtilis,k141_3376,10353,60
19,MEGAHIT,Bacillus_subtilis,k141_8854,15727,60
20,MEGAHIT,Bacillus_subtilis,k141_11347,263471,43.79340134644758
21,MEGAHIT,Bacillus_subtilis,k141_11348,408946,39.48908132926409
22,MEGAHIT,Bacillus_subtilis,k141_17783,135438,60
23,MEGAHIT,Bacillus_subtilis,k141_9469,23414,60
24,MEGAHIT,Bacillus_subtilis,k141_4733,2894,31.604685311190643
25,MEGAHIT,Bacillus_subtilis,k141_11969,1446,20.809870469108887
26,MEGAHIT,Bacillus_subtilis,k141_12015,30052,22.55156909020136
27,MEGAHIT,Bacillus_subtilis,k141_12694,294549,60
28,MEGAHIT,Bacillus_subtilis,k141_13601,315167,60
29,MEGAHIT,Bacillus_subtilis,k141_14879,387305,35.71019764344738
30,MEGAHIT,Enterococcus_faecalis,k141_15743,25697,32.05762441862287
31,MEGAHIT,Enterococcus_faecalis,k141_769,68964,42.36562451853429
32,MEGAHIT,Enterococcus_faecalis,k141_5667,235381,53.7177140358431
33,MEGAHIT,Enterococcus_faecalis,k141_1032,47184,60
34,MEGAHIT,Enterococcus_faecalis,k141_5763,30830,35.347310152872076
35,MEGAHIT,Enterococcus_faecalis,k141_1331,19908,42.99027632072242
36,MEGAHIT,Enterococcus_faecalis,k141_1441,6671,35.23160944988526
37,MEGAHIT,Enterococcus_faecalis,k141_10695,2644,12.074176027659044
38,MEGAHIT,Enterococcus_faecalis,k141_6210,2270,18.245469401508686
39,MEGAHIT,Enterococcus_faecalis,k141_6243,2079,60
40,MEGAHIT,Enterococcus_faecalis,k141_1775,83518,60
