,Assembler,Reference,Contig,Contig Length,Phred Quality Score
0,GATBMiniaPipeline,Bacillus_subtilis,51,23332,60
1,GATBMiniaPipeline,Bacillus_subtilis,67,1422,60
2,GATBMiniaPipeline,Bacillus_subtilis,68,29782,60
3,GATBMiniaPipeline,Bacillus_subtilis,72,15645,60
4,GATBMiniaPipeline,Bacillus_subtilis,231,17015,60
5,GATBMiniaPipeline,Bacillus_subtilis,359,2342,60
6,GATBMiniaPipeline,Bacillus_subtilis,379,10275,60
7,GATBMiniaPipeline,Bacillus_subtilis,392,55298,60
8,GATBMiniaPipeline,Bacillus_subtilis,395,269442,60
9,GATBMiniaPipeline,Bacillus_subtilis,412,156221,60
10,GATBMiniaPipeline,Bacillus_subtilis,435,137351,60
11,GATBMiniaPipeline,Bacillus_subtilis,440,38431,60
12,GATBMiniaPipeline,Bacillus_subtilis,485,122501,60
13,GATBMiniaPipeline,Bacillus_subtilis,536,294467,60
14,GATBMiniaPipeline,Bacillus_subtilis,712,37896,60
15,GATBMiniaPipeline,Bacillus_subtilis,752,312463,60
16,GATBMiniaPipeline,Bacillus_subtilis,763,212971,60
17,GATBMiniaPipeline,Bacillus_subtilis,773,395800,60
18,GATBMiniaPipeline,Bacillus_subtilis,789,315127,60
19,GATBMiniaPipeline,Bacillus_subtilis,853,1561,60
20,GATBMiniaPipeline,Bacillus_subtilis,911,1083,30.346284566253242
21,GATBMiniaPipeline,Bacillus_subtilis,930,59828,60
22,GATBMiniaPipeline,Bacillus_subtilis,937,257268,60
23,GATBMiniaPipeline,Bacillus_subtilis,938,83903,60
24,GATBMiniaPipeline,Bacillus_subtilis,940,60102,60
25,GATBMiniaPipeline,Bacillus_subtilis,959,263366,60
26,GATBMiniaPipeline,Bacillus_subtilis,963,252655,60
27,GATBMiniaPipeline,Bacillus_subtilis,970,552226,60
28,GATBMiniaPipeline,Enterococcus_faecalis,38,39679,60
29,GATBMiniaPipeline,Enterococcus_faecalis,40,1160,60
30,GATBMiniaPipeline,Enterococcus_faecalis,59,16210,60
31,GATBMiniaPipeline,Enterococcus_faecalis,76,22972,60
32,GATBMiniaPipeline,Enterococcus_faecalis,80,19521,60
33,GATBMiniaPipeline,Enterococcus_faecalis,117,30646,60
34,GATBMiniaPipeline,Enterococcus_faecalis,151,29307,60
35,GATBMiniaPipeline,Enterococcus_faecalis,153,1514,60
36,GATBMiniaPipeline,Enterococcus_faecalis,170,68760,60
37,GATBMiniaPipeline,Enterococcus_faecalis,187,8905,60
38,GATBMiniaPipeline,Enterococcus_faecalis,210,43692,60
39,GATBMiniaPipeline,Enterococcus_faecalis,253,12505,60
