,Assembler,Reference,Contig,Contig Length,Phred Quality Score
0,BCALM2,Bacillus_subtilis,4308338,1196,60
1,BCALM2,Bacillus_subtilis,4310967,1639,60
2,BCALM2,Bacillus_subtilis,4312170,1706,60
3,BCALM2,Bacillus_subtilis,4315236,1075,60
4,BCALM2,Bacillus_subtilis,4316327,1368,60
5,BCALM2,Bacillus_subtilis,4318284,1093,25.61498907230043
6,BCALM2,Bacillus_subtilis,4320141,1073,60
7,BCALM2,Bacillus_subtilis,4322902,1262,60
8,BCALM2,Bacillus_subtilis,4324337,1052,60
9,BCALM2,Bacillus_subtilis,4327039,1077,60
10,BCALM2,Bacillus_subtilis,4333505,1932,60
11,BCALM2,Bacillus_subtilis,4339565,1595,60
12,BCALM2,Bacillus_subtilis,4378739,1703,60
13,BCALM2,Bacillus_subtilis,4391866,2336,60
14,BCALM2,Bacillus_subtilis,4393941,1251,60
15,BCALM2,Bacillus_subtilis,4401918,1541,60
16,BCALM2,Bacillus_subtilis,4403330,1090,60
17,BCALM2,Bacillus_subtilis,4405871,1587,60
18,BCALM2,Bacillus_subtilis,4421335,1062,60
19,BCALM2,Bacillus_subtilis,4446414,1092,60
20,BCALM2,Bacillus_subtilis,4461789,1062,60
21,BCALM2,Bacillus_subtilis,4470401,1181,60
22,BCALM2,Bacillus_subtilis,4472221,1610,60
23,BCALM2,Bacillus_subtilis,4474305,1009,60
24,BCALM2,Bacillus_subtilis,4476776,1215,60
25,BCALM2,Bacillus_subtilis,4476899,1394,19.681715147063098
26,BCALM2,Bacillus_subtilis,4480813,1246,60
27,BCALM2,Bacillus_subtilis,4482003,1017,60
28,BCALM2,Bacillus_subtilis,4482490,1055,60
29,BCALM2,Bacillus_subtilis,4484509,1075,60
30,BCALM2,Bacillus_subtilis,4485249,1132,60
31,BCALM2,Bacillus_subtilis,4487251,1007,60
32,BCALM2,Bacillus_subtilis,4488155,1334,60
33,BCALM2,Bacillus_subtilis,4491018,1147,60
34,BCALM2,Bacillus_subtilis,4528785,1790,60
35,BCALM2,Bacillus_subtilis,4533422,1215,60
36,BCALM2,Bacillus_subtilis,4538198,1192,60
37,BCALM2,Bacillus_subtilis,4541060,1189,60
38,BCALM2,Bacillus_subtilis,4559245,1343,60
39,BCALM2,Bacillus_subtilis,4563669,1642,60
40,BCALM2,Bacillus_subtilis,4569667,1011,60
41,BCALM2,Bacillus_subtilis,4589432,1144,60
42,BCALM2,Bacillus_subtilis,4604312,1577,60
