,Assembler,Reference,Contig,Contig Length,Phred Quality Score
0,BCALM2,Bacillus_subtilis,147915,1372,60
1,BCALM2,Bacillus_subtilis,147916,1939,60
2,BCALM2,Bacillus_subtilis,147947,1655,60
3,BCALM2,Bacillus_subtilis,147949,1004,60
4,BCALM2,Bacillus_subtilis,147990,1096,60
5,BCALM2,Bacillus_subtilis,148128,3514,60
6,BCALM2,Bacillus_subtilis,148258,1757,60
7,BCALM2,Bacillus_subtilis,148461,3671,60
8,BCALM2,Bacillus_subtilis,148530,1646,60
9,BCALM2,Bacillus_subtilis,148681,1115,60
10,BCALM2,Bacillus_subtilis,148734,1015,60
11,BCALM2,Bacillus_subtilis,149232,1301,60
12,BCALM2,Bacillus_subtilis,149291,1181,60
13,BCALM2,Bacillus_subtilis,149668,2161,60
14,BCALM2,Bacillus_subtilis,150091,1451,60
15,BCALM2,Bacillus_subtilis,150194,1598,60
16,BCALM2,Bacillus_subtilis,150565,1511,60
17,BCALM2,Bacillus_subtilis,151886,1343,60
18,BCALM2,Bacillus_subtilis,152066,1991,60
19,BCALM2,Bacillus_subtilis,152342,1967,60
20,BCALM2,Bacillus_subtilis,152394,1080,60
21,BCALM2,Bacillus_subtilis,152590,2853,60
22,BCALM2,Bacillus_subtilis,152717,2222,60
23,BCALM2,Bacillus_subtilis,153004,1078,60
24,BCALM2,Bacillus_subtilis,153402,1262,60
25,BCALM2,Bacillus_subtilis,154044,2782,60
26,BCALM2,Bacillus_subtilis,154071,2957,60
27,BCALM2,Bacillus_subtilis,154512,2611,60
28,BCALM2,Bacillus_subtilis,154867,1053,60
29,BCALM2,Bacillus_subtilis,155029,1355,60
30,BCALM2,Bacillus_subtilis,155136,1152,60
31,BCALM2,Bacillus_subtilis,155343,1882,60
32,BCALM2,Bacillus_subtilis,155799,1101,60
33,BCALM2,Bacillus_subtilis,155938,1721,60
34,BCALM2,Bacillus_subtilis,156444,1401,60
35,BCALM2,Bacillus_subtilis,156479,1240,60
36,BCALM2,Bacillus_subtilis,156542,1024,60
37,BCALM2,Bacillus_subtilis,156710,1878,60
38,BCALM2,Bacillus_subtilis,156928,1479,60
39,BCALM2,Bacillus_subtilis,157457,3782,60
40,BCALM2,Bacillus_subtilis,157550,3434,60
41,BCALM2,Bacillus_subtilis,157872,4111,60
42,BCALM2,Bacillus_subtilis,158005,1002,60
43,BCALM2,Bacillus_subtilis,158032,2372,60
44,BCALM2,Bacillus_subtilis,158522,2281,60
45,BCALM2,Bacillus_subtilis,158707,1145,60
46,BCALM2,Bacillus_subtilis,159060,2046,60
47,BCALM2,Bacillus_subtilis,159254,1119,60
48,BCALM2,Bacillus_subtilis,159761,4203,60
49,BCALM2,Bacillus_subtilis,159777,1650,60
50,BCALM2,Bacillus_subtilis,159898,1596,60
51,BCALM2,Bacillus_subtilis,159964,1321,60
52,BCALM2,Bacillus_subtilis,160038,3559,60
53,BCALM2,Bacillus_subtilis,160134,2254,60
54,BCALM2,Bacillus_subtilis,160181,1009,60
55,BCALM2,Bacillus_subtilis,160207,2565,60
56,BCALM2,Bacillus_subtilis,160255,1692,60
57,BCALM2,Bacillus_subtilis,160402,1667,60
58,BCALM2,Bacillus_subtilis,160647,1135,60
59,BCALM2,Bacillus_subtilis,160693,1119,60
60,BCALM2,Bacillus_subtilis,160805,1980,60
61,BCALM2,Bacillus_subtilis,160976,1509,60
62,BCALM2,Bacillus_subtilis,161032,1863,60
63,BCALM2,Bacillus_subtilis,161266,1848,60
64,BCALM2,Bacillus_subtilis,161496,1151,60
65,BCALM2,Bacillus_subtilis,161530,1143,60
66,BCALM2,Bacillus_subtilis,161965,1437,60
67,BCALM2,Bacillus_subtilis,161972,1543,60
68,BCALM2,Bacillus_subtilis,162526,2049,60
69,BCALM2,Bacillus_subtilis,162532,3143,60
70,BCALM2,Bacillus_subtilis,162730,2580,60
71,BCALM2,Bacillus_subtilis,162955,2941,60
72,BCALM2,Bacillus_subtilis,162958,2574,60
73,BCALM2,Bacillus_subtilis,163096,1008,60
74,BCALM2,Bacillus_subtilis,163147,1218,60
75,BCALM2,Bacillus_subtilis,163259,2072,60
76,BCALM2,Bacillus_subtilis,163305,5637,60
77,BCALM2,Bacillus_subtilis,163406,2072,60
78,BCALM2,Bacillus_subtilis,163643,1018,60
79,BCALM2,Bacillus_subtilis,163646,1455,60
80,BCALM2,Bacillus_subtilis,163689,1092,60
81,BCALM2,Bacillus_subtilis,163745,5419,60
82,BCALM2,Bacillus_subtilis,164073,3665,60
83,BCALM2,Bacillus_subtilis,164556,2844,60
84,BCALM2,Bacillus_subtilis,164589,1166,60
85,BCALM2,Bacillus_subtilis,164823,1484,60
86,BCALM2,Bacillus_subtilis,164994,1678,60
87,BCALM2,Bacillus_subtilis,165402,3172,60
88,BCALM2,Bacillus_subtilis,165618,1308,60
89,BCALM2,Bacillus_subtilis,165829,2379,60
90,BCALM2,Bacillus_subtilis,165869,1668,60
91,BCALM2,Bacillus_subtilis,165910,6433,60
92,BCALM2,Bacillus_subtilis,166045,3474,60
93,BCALM2,Bacillus_subtilis,166258,2997,60
94,BCALM2,Bacillus_subtilis,166449,1484,60
95,BCALM2,Bacillus_subtilis,166496,1116,60
96,BCALM2,Bacillus_subtilis,166821,1266,60
97,BCALM2,Bacillus_subtilis,166937,5409,60
98,BCALM2,Bacillus_subtilis,167074,1361,60
99,BCALM2,Bacillus_subtilis,168121,1057,60
100,BCALM2,Bacillus_subtilis,168453,1645,60
101,BCALM2,Bacillus_subtilis,168506,2105,60
102,BCALM2,Bacillus_subtilis,169213,1709,60
103,BCALM2,Bacillus_subtilis,169391,1405,60
104,BCALM2,Bacillus_subtilis,169797,4650,60
105,BCALM2,Bacillus_subtilis,169825,1076,60
106,BCALM2,Bacillus_subtilis,170013,1302,60
107,BCALM2,Bacillus_subtilis,170071,1937,60
108,BCALM2,Bacillus_subtilis,170493,2685,60
109,BCALM2,Bacillus_subtilis,170545,1540,60
110,BCALM2,Bacillus_subtilis,170710,1325,60
111,BCALM2,Bacillus_subtilis,170996,1535,60
112,BCALM2,Bacillus_subtilis,171006,3608,60
113,BCALM2,Bacillus_subtilis,171200,1676,60
114,BCALM2,Bacillus_subtilis,171521,2980,60
115,BCALM2,Bacillus_subtilis,171522,2106,60
116,BCALM2,Bacillus_subtilis,171810,3624,60
117,BCALM2,Bacillus_subtilis,171925,1177,60
118,BCALM2,Bacillus_subtilis,171985,1050,60
119,BCALM2,Bacillus_subtilis,172650,1094,60
120,BCALM2,Bacillus_subtilis,172722,1551,60
121,BCALM2,Bacillus_subtilis,172956,1171,60
122,BCALM2,Bacillus_subtilis,173052,2146,60
123,BCALM2,Bacillus_subtilis,173108,2155,60
124,BCALM2,Bacillus_subtilis,173315,3484,60
125,BCALM2,Bacillus_subtilis,173362,1277,60
126,BCALM2,Bacillus_subtilis,173841,1822,60
127,BCALM2,Bacillus_subtilis,173975,1983,60
128,BCALM2,Bacillus_subtilis,174032,1228,60
129,BCALM2,Bacillus_subtilis,174540,2193,60
130,BCALM2,Bacillus_subtilis,174677,1033,60
131,BCALM2,Bacillus_subtilis,174721,1159,60
132,BCALM2,Bacillus_subtilis,174825,1041,60
133,BCALM2,Bacillus_subtilis,174993,1355,60
134,BCALM2,Bacillus_subtilis,175008,1630,60
135,BCALM2,Bacillus_subtilis,175037,1180,60
136,BCALM2,Bacillus_subtilis,175047,2780,60
137,BCALM2,Bacillus_subtilis,175107,1429,60
138,BCALM2,Bacillus_subtilis,175225,1011,60
139,BCALM2,Bacillus_subtilis,175282,1079,60
140,BCALM2,Bacillus_subtilis,175441,2911,60
141,BCALM2,Bacillus_subtilis,175486,1211,60
142,BCALM2,Bacillus_subtilis,175506,1383,60
143,BCALM2,Bacillus_subtilis,175529,4502,60
144,BCALM2,Bacillus_subtilis,175739,1223,60
145,BCALM2,Bacillus_subtilis,175782,3179,60
146,BCALM2,Bacillus_subtilis,175862,2887,60
147,BCALM2,Bacillus_subtilis,176082,3067,60
148,BCALM2,Bacillus_subtilis,176199,1098,60
149,BCALM2,Bacillus_subtilis,176337,1622,60
150,BCALM2,Bacillus_subtilis,176521,4007,60
151,BCALM2,Bacillus_subtilis,176522,1903,60
152,BCALM2,Bacillus_subtilis,176652,4092,60
153,BCALM2,Bacillus_subtilis,176799,2744,60
154,BCALM2,Bacillus_subtilis,176845,2940,60
155,BCALM2,Bacillus_subtilis,176889,1976,60
156,BCALM2,Bacillus_subtilis,176914,1940,60
157,BCALM2,Bacillus_subtilis,177517,1291,60
158,BCALM2,Bacillus_subtilis,177619,2535,60
159,BCALM2,Bacillus_subtilis,177650,1355,60
160,BCALM2,Bacillus_subtilis,177752,2064,60
161,BCALM2,Bacillus_subtilis,178150,2001,60
162,BCALM2,Bacillus_subtilis,178160,3253,60
163,BCALM2,Bacillus_subtilis,178207,1505,60
164,BCALM2,Bacillus_subtilis,178234,2272,60
165,BCALM2,Bacillus_subtilis,178310,1141,60
166,BCALM2,Bacillus_subtilis,178357,1826,60
167,BCALM2,Bacillus_subtilis,178797,1060,60
168,BCALM2,Bacillus_subtilis,178847,1660,60
169,BCALM2,Bacillus_subtilis,178858,1017,60
170,BCALM2,Bacillus_subtilis,178890,2193,60
171,BCALM2,Bacillus_subtilis,179082,2599,60
172,BCALM2,Bacillus_subtilis,179442,1335,60
173,BCALM2,Bacillus_subtilis,179452,1452,60
174,BCALM2,Bacillus_subtilis,179617,1502,60
175,BCALM2,Bacillus_subtilis,179747,1666,60
176,BCALM2,Bacillus_subtilis,180086,1278,60
177,BCALM2,Bacillus_subtilis,180466,3008,60
178,BCALM2,Bacillus_subtilis,180473,2095,60
179,BCALM2,Bacillus_subtilis,180577,1877,60
180,BCALM2,Bacillus_subtilis,180803,1250,60
181,BCALM2,Bacillus_subtilis,181773,1962,60
182,BCALM2,Bacillus_subtilis,181901,1547,60
183,BCALM2,Bacillus_subtilis,182026,1879,60
184,BCALM2,Bacillus_subtilis,182179,2123,60
185,BCALM2,Bacillus_subtilis,182327,2863,60
186,BCALM2,Bacillus_subtilis,182794,2060,60
187,BCALM2,Bacillus_subtilis,182961,1206,60
188,BCALM2,Bacillus_subtilis,182965,1873,60
189,BCALM2,Bacillus_subtilis,183396,2803,60
190,BCALM2,Bacillus_subtilis,183571,1157,60
191,BCALM2,Bacillus_subtilis,183586,1599,60
192,BCALM2,Bacillus_subtilis,183636,1533,60
193,BCALM2,Bacillus_subtilis,183749,2052,60
194,BCALM2,Bacillus_subtilis,183846,2331,60
195,BCALM2,Bacillus_subtilis,183850,1053,60
196,BCALM2,Bacillus_subtilis,184247,1577,60
197,BCALM2,Bacillus_subtilis,184395,1217,60
198,BCALM2,Bacillus_subtilis,184421,1367,60
199,BCALM2,Bacillus_subtilis,184749,1263,60
