,index,Sample,Assembler,Contig,Contig Len,Mapped,#N
0,0,EMS,MetaHipMer2,Contig0,343203,Bacillus_subtilis,0
1,1,EMS,MetaHipMer2,Contig2,136737,Listeria_monocytogenes,0
2,2,EMS,MetaHipMer2,Contig3,95701,Escherichia_coli,0
3,3,EMS,MetaHipMer2,Contig4,107332,Bacillus_subtilis,0
4,4,EMS,MetaHipMer2,Contig5,94165,Salmonella_enterica,0
5,5,EMS,MetaHipMer2,Contig6,60072,Escherichia_coli,0
6,6,EMS,MetaHipMer2,Contig7,114807,Enterococcus_faecalis,0
7,7,EMS,MetaHipMer2,Contig8,24256,Pseudomonas_aeruginosa,0
8,8,EMS,MetaHipMer2,Contig9,102049,Escherichia_coli,0
9,9,EMS,MetaHipMer2,Contig10,59568,Escherichia_coli,0
10,10,EMS,MetaHipMer2,Contig11,13193,Escherichia_coli,0
11,11,EMS,MetaHipMer2,Contig12,41231,Escherichia_coli,0
12,12,EMS,MetaHipMer2,Contig13,16038,Lactobacillus_fermentum,0
13,13,EMS,MetaHipMer2,Contig14,6334,Staphylococcus_aureus_plasmid1,0
14,14,EMS,MetaHipMer2,Contig16,23658,Staphylococcus_aureus,0
15,15,EMS,MetaHipMer2,Contig17,57041,Enterococcus_faecalis,0
16,16,EMS,MetaHipMer2,Contig18,84240,Enterococcus_faecalis,0
17,17,EMS,MetaHipMer2,Contig19,12501,Enterococcus_faecalis,0
18,18,EMS,MetaHipMer2,Contig22,58754,Listeria_monocytogenes,0
19,19,EMS,MetaHipMer2,Contig23,85580,Escherichia_coli,0
20,20,EMS,MetaHipMer2,Contig24,64529,Salmonella_enterica,0
21,21,EMS,MetaHipMer2,Contig25,61775,Pseudomonas_aeruginosa,0
22,22,EMS,MetaHipMer2,Contig26,1334,Escherichia_coli,0
23,23,EMS,MetaHipMer2,Contig28,37892,Bacillus_subtilis,0
24,24,EMS,MetaHipMer2,Contig31,3988,Pseudomonas_aeruginosa,0
25,25,EMS,MetaHipMer2,Contig35,12471,Escherichia_coli_plasmid,0
26,26,EMS,MetaHipMer2,Contig36,6777,Escherichia_coli,0
27,27,EMS,MetaHipMer2,Contig38,3994,Escherichia_coli,0
28,28,EMS,MetaHipMer2,Contig39,12861,Staphylococcus_aureus,0
29,29,EMS,MetaHipMer2,Contig40,2939,Lactobacillus_fermentum,0
30,30,EMS,MetaHipMer2,Contig41,4509,Escherichia_coli,0
31,31,EMS,MetaHipMer2,Contig43,6658,Salmonella_enterica,0
32,32,EMS,MetaHipMer2,Contig45,3753,Salmonella_enterica,0
33,33,EMS,MetaHipMer2,Contig46,2824,Pseudomonas_aeruginosa,0
34,34,EMS,MetaHipMer2,Contig47,1208,Pseudomonas_aeruginosa,0
35,35,EMS,MetaHipMer2,Contig49,7636,Lactobacillus_fermentum,0
36,36,EMS,MetaHipMer2,Contig50,9597,Staphylococcus_aureus,0
37,37,EMS,MetaHipMer2,Contig55,1637,Salmonella_enterica,0
38,38,EMS,MetaHipMer2,Contig58,1684,Escherichia_coli,0
39,39,EMS,MetaHipMer2,Contig62,1638,Staphylococcus_aureus,0
40,40,EMS,MetaHipMer2,Contig94,1061,Pseudomonas_aeruginosa,0
41,41,EMS,MetaHipMer2,Contig106,1533,Lactobacillus_fermentum,0
42,42,EMS,MetaHipMer2,Contig120,1093,Lactobacillus_fermentum,0
43,43,EMS,MetaHipMer2,Contig216,1675,Listeria_monocytogenes,0
44,44,EMS,MetaHipMer2,Contig6004,23328,Bacillus_subtilis,0
45,45,EMS,MetaHipMer2,Contig6005,72139,Salmonella_enterica,0
46,46,EMS,MetaHipMer2,Contig6006,351146,Listeria_monocytogenes,0
47,47,EMS,MetaHipMer2,Contig6007,41929,Enterococcus_faecalis,0
48,48,EMS,MetaHipMer2,Contig6008,44045,Salmonella_enterica,0
49,49,EMS,MetaHipMer2,Contig6009,21150,Salmonella_enterica,0
50,50,EMS,MetaHipMer2,Contig6010,6508,Staphylococcus_aureus,0
51,51,EMS,MetaHipMer2,Contig6011,149725,Staphylococcus_aureus,0
52,52,EMS,MetaHipMer2,Contig6012,113094,Salmonella_enterica,0
53,53,EMS,MetaHipMer2,Contig6013,34906,Salmonella_enterica,0
54,54,EMS,MetaHipMer2,Contig6014,14687,Salmonella_enterica,0
55,55,EMS,MetaHipMer2,Contig6016,32604,Pseudomonas_aeruginosa,0
56,56,EMS,MetaHipMer2,Contig6017,74181,Enterococcus_faecalis,0
57,57,EMS,MetaHipMer2,Contig6018,44950,Salmonella_enterica,0
58,58,EMS,MetaHipMer2,Contig6019,129924,Staphylococcus_aureus,0
59,59,EMS,MetaHipMer2,Contig6020,12873,Salmonella_enterica,0
60,60,EMS,MetaHipMer2,Contig6021,43980,Salmonella_enterica,0
61,61,EMS,MetaHipMer2,Contig6022,57991,Escherichia_coli,0
62,62,EMS,MetaHipMer2,Contig6023,14271,Pseudomonas_aeruginosa,0
63,63,EMS,MetaHipMer2,Contig6024,15155,Escherichia_coli,0
64,64,EMS,MetaHipMer2,Contig6025,37364,Salmonella_enterica,0
65,65,EMS,MetaHipMer2,Contig6026,88807,Salmonella_enterica,0
66,66,EMS,MetaHipMer2,Contig6028,26418,Staphylococcus_aureus,0
67,67,EMS,MetaHipMer2,Contig6029,29303,Enterococcus_faecalis,0
68,68,EMS,MetaHipMer2,Contig6030,34951,Escherichia_coli,0
69,69,EMS,MetaHipMer2,Contig6031,76571,Escherichia_coli,0
70,70,EMS,MetaHipMer2,Contig6032,58958,Salmonella_enterica,0
71,71,EMS,MetaHipMer2,Contig6033,14707,Lactobacillus_fermentum,0
72,72,EMS,MetaHipMer2,Contig6034,13479,Salmonella_enterica,0
73,73,EMS,MetaHipMer2,Contig6035,16972,Escherichia_coli,0
74,74,EMS,MetaHipMer2,Contig6036,19062,Lactobacillus_fermentum,0
75,75,EMS,MetaHipMer2,Contig6037,16206,Enterococcus_faecalis,0
76,76,EMS,MetaHipMer2,Contig6038,40797,Escherichia_coli,0
77,77,EMS,MetaHipMer2,Contig6039,28446,Lactobacillus_fermentum,0
78,78,EMS,MetaHipMer2,Contig6040,17011,Bacillus_subtilis,0
79,79,EMS,MetaHipMer2,Contig6044,13870,Escherichia_coli,0
80,80,EMS,MetaHipMer2,Contig6047,2845,Salmonella_enterica,0
81,81,EMS,MetaHipMer2,Contig6049,2213,Staphylococcus_aureus_plasmid2,0
82,82,EMS,MetaHipMer2,Contig6058,3380,Lactobacillus_fermentum,0
83,83,EMS,MetaHipMer2,Contig6075,2652,Salmonella_enterica,0
84,84,EMS,MetaHipMer2,Contig6093,3258,Salmonella_enterica,0
85,85,EMS,MetaHipMer2,Contig12725,5104,Escherichia_coli,0
86,86,EMS,MetaHipMer2,Contig12726,13775,Enterococcus_faecalis,0
87,87,EMS,MetaHipMer2,Contig12727,9932,Salmonella_enterica,0
88,88,EMS,MetaHipMer2,Contig12728,87386,Lactobacillus_fermentum,0
89,89,EMS,MetaHipMer2,Contig12729,32050,Salmonella_enterica,0
90,90,EMS,MetaHipMer2,Contig12730,38871,Staphylococcus_aureus,0
91,91,EMS,MetaHipMer2,Contig12731,39717,Staphylococcus_aureus,0
92,92,EMS,MetaHipMer2,Contig12732,108139,Staphylococcus_aureus,0
93,93,EMS,MetaHipMer2,Contig12733,39119,Escherichia_coli,0
94,94,EMS,MetaHipMer2,Contig12734,263362,Bacillus_subtilis,0
95,95,EMS,MetaHipMer2,Contig12735,150029,Bacillus_subtilis,0
96,96,EMS,MetaHipMer2,Contig12736,170743,Bacillus_subtilis,0
97,97,EMS,MetaHipMer2,Contig12737,82958,Escherichia_coli,0
98,98,EMS,MetaHipMer2,Contig12738,56794,Escherichia_coli,0
99,99,EMS,MetaHipMer2,Contig12739,16614,Enterococcus_faecalis,0
100,100,EMS,MetaHipMer2,Contig12740,15446,Escherichia_coli,0
101,101,EMS,MetaHipMer2,Contig12741,9233,Escherichia_coli,0
102,102,EMS,MetaHipMer2,Contig12742,10108,Salmonella_enterica,0
103,103,EMS,MetaHipMer2,Contig12743,76149,Salmonella_enterica,0
104,104,EMS,MetaHipMer2,Contig12744,90200,Pseudomonas_aeruginosa,0
105,105,EMS,MetaHipMer2,Contig12746,15641,Bacillus_subtilis,0
106,106,EMS,MetaHipMer2,Contig12747,29568,Salmonella_enterica,0
107,107,EMS,MetaHipMer2,Contig12748,18743,Escherichia_coli,0
108,108,EMS,MetaHipMer2,Contig12749,14184,Escherichia_coli,0
109,109,EMS,MetaHipMer2,Contig12751,16409,Escherichia_coli,0
110,110,EMS,MetaHipMer2,Contig12752,32751,Escherichia_coli,0
111,111,EMS,MetaHipMer2,Contig12753,3959,Escherichia_coli,0
112,112,EMS,MetaHipMer2,Contig12754,38790,Enterococcus_faecalis,0
113,113,EMS,MetaHipMer2,Contig12755,22100,Pseudomonas_aeruginosa,0
114,114,EMS,MetaHipMer2,Contig12758,8061,Escherichia_coli,0
115,115,EMS,MetaHipMer2,Contig12759,10489,Salmonella_enterica,0
116,116,EMS,MetaHipMer2,Contig12760,10128,Salmonella_enterica,0
117,117,EMS,MetaHipMer2,Contig12761,3114,Lactobacillus_fermentum,0
118,118,EMS,MetaHipMer2,Contig12772,1498,Lactobacillus_fermentum,0
119,119,EMS,MetaHipMer2,Contig12773,2429,Salmonella_enterica,0
120,120,EMS,MetaHipMer2,Contig12778,1475,Escherichia_coli,0
121,121,EMS,MetaHipMer2,Contig12781,3174,Lactobacillus_fermentum,0
122,122,EMS,MetaHipMer2,Contig12795,1156,Salmonella_enterica,0
