,Assembler,Reference,Contig,Contig Length,Phred Quality Score
0,MEGAHIT,Bacillus_subtilis,k141_1015,259394,51.129299306050065
1,MEGAHIT,Bacillus_subtilis,k141_1020,38573,25.034980469467524
2,MEGAHIT,Bacillus_subtilis,k141_1023,1646,60.0
3,MEGAHIT,Bacillus_subtilis,k141_473,59959,60.0
4,MEGAHIT,Bacillus_subtilis,k141_189,15710,60.0
5,MEGAHIT,Bacillus_subtilis,k141_321,252833,36.39405764269559
6,MEGAHIT,Bacillus_subtilis,k141_496,23445,60.0
7,MEGAHIT,Bacillus_subtilis,k141_629,269818,60.0
8,MEGAHIT,Bacillus_subtilis,k141_62,768640,60.0
9,MEGAHIT,Bacillus_subtilis,k141_789,2931,60.0
10,MEGAHIT,Bacillus_subtilis,k141_631,343369,60.0
11,MEGAHIT,Bacillus_subtilis,k141_520,84533,36.4827268101616
12,MEGAHIT,Bacillus_subtilis,k141_1068,1013,60.0
13,MEGAHIT,Bacillus_subtilis,k141_1094,38542,60.0
14,MEGAHIT,Bacillus_subtilis,k141_227,10353,60.0
15,MEGAHIT,Bacillus_subtilis,k141_1105,208879,60.0
16,MEGAHIT,Bacillus_subtilis,k141_238,138541,42.384883310925936
17,MEGAHIT,Bacillus_subtilis,k141_83,314963,60.0
18,MEGAHIT,Bacillus_subtilis,k141_1121,157402,23.781248317482554
19,MEGAHIT,Bacillus_subtilis,k141_353,55450,60.0
20,MEGAHIT,Bacillus_subtilis,k141_713,230038,28.290452040996716
21,MEGAHIT,Bacillus_subtilis,k141_719,263586,60.0
22,MEGAHIT,Bacillus_subtilis,k141_572,294552,60.0
23,MEGAHIT,Bacillus_subtilis,k141_433,19020,23.601324202253174
24,MEGAHIT,Bacillus_subtilis,k141_140,29897,60.0
25,MEGAHIT,Bacillus_subtilis,k141_142,104456,28.666450467217118
26,MEGAHIT,Enterococcus_faecalis,k141_439,1841,60.0
27,MEGAHIT,Enterococcus_faecalis,k141_440,1650,60.0
28,MEGAHIT,Enterococcus_faecalis,k141_12,13163,21.899359555821327
29,MEGAHIT,Enterococcus_faecalis,k141_154,235316,60.0
30,MEGAHIT,Enterococcus_faecalis,k141_467,238546,60.0
31,MEGAHIT,Enterococcus_faecalis,k141_767,13528,60.0
32,MEGAHIT,Enterococcus_faecalis,k141_622,56892,60.0
33,MEGAHIT,Enterococcus_faecalis,k141_314,92108,41.86146101908613
34,MEGAHIT,Enterococcus_faecalis,k141_904,33072,60.0
35,MEGAHIT,Enterococcus_faecalis,k141_905,63255,60.0
36,MEGAHIT,Enterococcus_faecalis,k141_1041,667538,58.244759932024124
37,MEGAHIT,Enterococcus_faecalis,k141_490,157734,51.97925316796397
