,index,Sample,Assembler,Contig,Contig Len,Mapped,#N
0,0,ERR2984773,metaSPAdes,NODE_1_length_473277_cov_51.678337,473277,Listeria_monocytogenes,0
1,1,ERR2984773,metaSPAdes,NODE_2_length_428678_cov_36.754854,428678,Bacillus_subtilis,0
2,2,ERR2984773,metaSPAdes,NODE_3_length_382269_cov_42.367663,382269,Bacillus_subtilis,0
3,3,ERR2984773,metaSPAdes,NODE_4_length_381468_cov_49.230346,381468,Bacillus_subtilis,0
4,4,ERR2984773,metaSPAdes,NODE_5_length_372591_cov_31.792181,372591,Pseudomonas_aeruginosa,0
5,5,ERR2984773,metaSPAdes,NODE_6_length_335491_cov_62.718268,335491,Listeria_monocytogenes,0
6,6,ERR2984773,metaSPAdes,NODE_7_length_300426_cov_56.369337,300426,Listeria_monocytogenes,0
7,7,ERR2984773,metaSPAdes,NODE_8_length_297695_cov_31.739074,297695,Pseudomonas_aeruginosa,0
8,8,ERR2984773,metaSPAdes,NODE_9_length_289272_cov_33.434556,289272,Pseudomonas_aeruginosa,0
9,9,ERR2984773,metaSPAdes,NODE_10_length_282801_cov_32.983512,282801,Pseudomonas_aeruginosa,0
10,10,ERR2984773,metaSPAdes,NODE_11_length_277260_cov_57.095958,277260,Listeria_monocytogenes,0
11,11,ERR2984773,metaSPAdes,NODE_12_length_251208_cov_31.889645,251208,Pseudomonas_aeruginosa,0
12,12,ERR2984773,metaSPAdes,NODE_13_length_245095_cov_33.381954,245095,Salmonella_enterica,0
13,13,ERR2984773,metaSPAdes,NODE_14_length_237433_cov_45.105675,237433,Bacillus_subtilis,0
14,14,ERR2984773,metaSPAdes,NODE_15_length_235115_cov_56.959546,235115,Listeria_monocytogenes,0
15,15,ERR2984773,metaSPAdes,NODE_16_length_225943_cov_51.441710,225943,Staphylococcus_aureus,0
16,16,ERR2984773,metaSPAdes,NODE_17_length_224203_cov_67.739574,224203,Enterococcus_faecalis,0
17,17,ERR2984773,metaSPAdes,NODE_18_length_218763_cov_59.862950,218763,Listeria_monocytogenes,0
18,18,ERR2984773,metaSPAdes,NODE_19_length_217461_cov_62.581718,217461,Enterococcus_faecalis,0
19,19,ERR2984773,metaSPAdes,NODE_20_length_216816_cov_32.846172,216816,Pseudomonas_aeruginosa,0
20,20,ERR2984773,metaSPAdes,NODE_21_length_216052_cov_37.877665,216052,Escherichia_coli,0
21,21,ERR2984773,metaSPAdes,NODE_22_length_214091_cov_51.740352,214091,Staphylococcus_aureus,0
22,22,ERR2984773,metaSPAdes,NODE_23_length_212481_cov_29.776534,212481,Pseudomonas_aeruginosa,0
23,23,ERR2984773,metaSPAdes,NODE_24_length_211742_cov_37.092849,211742,Escherichia_coli,0
24,24,ERR2984773,metaSPAdes,NODE_25_length_209987_cov_53.649448,209987,Enterococcus_faecalis,0
25,25,ERR2984773,metaSPAdes,NODE_26_length_206177_cov_45.789023,206177,Bacillus_subtilis,0
26,26,ERR2984773,metaSPAdes,NODE_27_length_197438_cov_59.349670,197438,Enterococcus_faecalis,0
27,27,ERR2984773,metaSPAdes,NODE_28_length_190762_cov_54.602993,190762,Enterococcus_faecalis,0
28,28,ERR2984773,metaSPAdes,NODE_29_length_190643_cov_32.253673,190643,Pseudomonas_aeruginosa,0
29,29,ERR2984773,metaSPAdes,NODE_30_length_190458_cov_32.048266,190458,Pseudomonas_aeruginosa,0
30,30,ERR2984773,metaSPAdes,NODE_31_length_189333_cov_32.335459,189333,Pseudomonas_aeruginosa,0
31,31,ERR2984773,metaSPAdes,NODE_32_length_184214_cov_30.911077,184214,Pseudomonas_aeruginosa,0
32,32,ERR2984773,metaSPAdes,NODE_33_length_182149_cov_33.015805,182149,Pseudomonas_aeruginosa,0
33,33,ERR2984773,metaSPAdes,NODE_34_length_174343_cov_41.855922,174343,Bacillus_subtilis,0
34,34,ERR2984773,metaSPAdes,NODE_35_length_172667_cov_38.780502,172667,Bacillus_subtilis,0
35,35,ERR2984773,metaSPAdes,NODE_36_length_172407_cov_31.088905,172407,Pseudomonas_aeruginosa,0
36,36,ERR2984773,metaSPAdes,NODE_37_length_172174_cov_52.996961,172174,Listeria_monocytogenes,0
37,37,ERR2984773,metaSPAdes,NODE_38_length_171983_cov_32.125989,171983,Pseudomonas_aeruginosa,0
38,38,ERR2984773,metaSPAdes,NODE_39_length_164938_cov_33.173802,164938,Pseudomonas_aeruginosa,0
39,39,ERR2984773,metaSPAdes,NODE_40_length_164894_cov_44.237268,164894,Bacillus_subtilis,0
40,40,ERR2984773,metaSPAdes,NODE_41_length_160250_cov_40.504729,160250,Salmonella_enterica,0
41,41,ERR2984773,metaSPAdes,NODE_42_length_157087_cov_50.054142,157087,Enterococcus_faecalis,0
42,42,ERR2984773,metaSPAdes,NODE_43_length_153485_cov_54.923366,153485,Staphylococcus_aureus,0
43,43,ERR2984773,metaSPAdes,NODE_44_length_151807_cov_33.855040,151807,Pseudomonas_aeruginosa,0
44,44,ERR2984773,metaSPAdes,NODE_45_length_150775_cov_31.341687,150775,Pseudomonas_aeruginosa,0
45,45,ERR2984773,metaSPAdes,NODE_46_length_146166_cov_76.628002,146166,Enterococcus_faecalis,0
46,46,ERR2984773,metaSPAdes,NODE_47_length_146049_cov_32.882927,146049,Pseudomonas_aeruginosa,0
47,47,ERR2984773,metaSPAdes,NODE_48_length_144144_cov_44.579815,144144,Bacillus_subtilis,0
48,48,ERR2984773,metaSPAdes,NODE_49_length_143782_cov_42.286209,143782,Salmonella_enterica,0
49,49,ERR2984773,metaSPAdes,NODE_50_length_143187_cov_59.390248,143187,Listeria_monocytogenes,0
50,50,ERR2984773,metaSPAdes,NODE_51_length_143041_cov_49.508064,143041,Enterococcus_faecalis,0
51,51,ERR2984773,metaSPAdes,NODE_52_length_139469_cov_30.604308,139469,Pseudomonas_aeruginosa,0
52,52,ERR2984773,metaSPAdes,NODE_53_length_138034_cov_50.524993,138034,Listeria_monocytogenes,0
53,53,ERR2984773,metaSPAdes,NODE_54_length_137879_cov_53.737339,137879,Staphylococcus_aureus,0
54,54,ERR2984773,metaSPAdes,NODE_55_length_133766_cov_53.520331,133766,Staphylococcus_aureus,0
55,55,ERR2984773,metaSPAdes,NODE_56_length_133751_cov_38.728563,133751,Bacillus_subtilis,0
56,56,ERR2984773,metaSPAdes,NODE_57_length_133523_cov_31.584807,133523,Pseudomonas_aeruginosa,0
57,57,ERR2984773,metaSPAdes,NODE_58_length_129858_cov_53.965186,129858,Staphylococcus_aureus,0
58,58,ERR2984773,metaSPAdes,NODE_59_length_128028_cov_40.591492,128028,Bacillus_subtilis,0
59,59,ERR2984773,metaSPAdes,NODE_60_length_125569_cov_39.224891,125569,Bacillus_subtilis,0
60,60,ERR2984773,metaSPAdes,NODE_61_length_122692_cov_41.713211,122692,Salmonella_enterica,0
61,61,ERR2984773,metaSPAdes,NODE_62_length_122468_cov_32.814579,122468,Pseudomonas_aeruginosa,0
62,62,ERR2984773,metaSPAdes,NODE_63_length_121277_cov_47.459933,121277,Bacillus_subtilis,0
63,63,ERR2984773,metaSPAdes,NODE_64_length_119150_cov_32.236542,119150,Pseudomonas_aeruginosa,0
64,64,ERR2984773,metaSPAdes,NODE_65_length_119134_cov_38.368923,119134,Escherichia_coli,0
65,65,ERR2984773,metaSPAdes,NODE_66_length_118537_cov_37.245565,118537,Bacillus_subtilis,0
66,66,ERR2984773,metaSPAdes,NODE_67_length_118435_cov_29.622774,118435,Pseudomonas_aeruginosa,0
67,67,ERR2984773,metaSPAdes,NODE_68_length_117956_cov_75.705270,117956,Enterococcus_faecalis,0
68,68,ERR2984773,metaSPAdes,NODE_69_length_117578_cov_36.564111,117578,Salmonella_enterica,0
69,69,ERR2984773,metaSPAdes,NODE_70_length_116983_cov_41.392737,116983,Salmonella_enterica,0
70,70,ERR2984773,metaSPAdes,NODE_71_length_116638_cov_50.373588,116638,Staphylococcus_aureus,0
71,71,ERR2984773,metaSPAdes,NODE_72_length_115513_cov_41.570147,115513,Salmonella_enterica,0
72,72,ERR2984773,metaSPAdes,NODE_73_length_108053_cov_51.042853,108053,Staphylococcus_aureus,0
73,73,ERR2984773,metaSPAdes,NODE_74_length_108013_cov_36.736833,108013,Escherichia_coli,0
74,74,ERR2984773,metaSPAdes,NODE_75_length_107153_cov_38.133803,107153,Salmonella_enterica,0
75,75,ERR2984773,metaSPAdes,NODE_76_length_106796_cov_29.311146,106796,Pseudomonas_aeruginosa,0
