,Assembler,Reference,Contig,Contig Length,Phred Quality Score
0,SKESA,Bacillus_subtilis,Contig_10_17.0931,18307,60
1,SKESA,Bacillus_subtilis,Contig_19_17.1254,8631,60
2,SKESA,Bacillus_subtilis,Contig_128_18.3418,5149,60
3,SKESA,Bacillus_subtilis,Contig_179_17.7024,8650,60
4,SKESA,Bacillus_subtilis,Contig_180_18.6971,1915,60
5,SKESA,Bacillus_subtilis,Contig_251_17.7276,4928,60
6,SKESA,Bacillus_subtilis,Contig_493_16.6756,13850,60
7,SKESA,Bacillus_subtilis,Contig_504_17.8086,4178,60
8,SKESA,Bacillus_subtilis,Contig_605_18.1468,4324,60
9,SKESA,Bacillus_subtilis,Contig_628_17.9358,6855,60
10,SKESA,Bacillus_subtilis,Contig_631_17.394,5792,60
11,SKESA,Bacillus_subtilis,Contig_646_17.9066,1465,60
12,SKESA,Bacillus_subtilis,Contig_736_17.4101,10609,60
13,SKESA,Bacillus_subtilis,Contig_752_18.7224,2372,60
14,SKESA,Bacillus_subtilis,Contig_826_19.8351,1166,60
15,SKESA,Bacillus_subtilis,Contig_843_17.4293,4006,60
16,SKESA,Bacillus_subtilis,Contig_846_17.2008,7326,60
17,SKESA,Bacillus_subtilis,Contig_862_18.0958,5916,60
18,SKESA,Bacillus_subtilis,Contig_878_18.5483,1459,60
19,SKESA,Bacillus_subtilis,Contig_895_16.8046,8675,60
20,SKESA,Bacillus_subtilis,Contig_951_18.5179,2397,60
21,SKESA,Bacillus_subtilis,Contig_961_137.36,1284,15.403632996658398
22,SKESA,Enterococcus_faecalis,Contig_24_244.636,39477,60
23,SKESA,Enterococcus_faecalis,Contig_69_243.225,68370,60
24,SKESA,Enterococcus_faecalis,Contig_87_241.552,38592,60
25,SKESA,Enterococcus_faecalis,Contig_90_248.024,68552,60
26,SKESA,Enterococcus_faecalis,Contig_92_255.556,2972,60
27,SKESA,Enterococcus_faecalis,Contig_93_203.682,48759,6.551541113446083
28,SKESA,Enterococcus_faecalis,Contig_96_271.936,3110,60
29,SKESA,Enterococcus_faecalis,Contig_98_1467.91,1258,60
30,SKESA,Enterococcus_faecalis,Contig_107_255.665,9907,60
31,SKESA,Enterococcus_faecalis,Contig_159_243.936,184231,60
32,SKESA,Enterococcus_faecalis,Contig_160_240.873,15878,60
33,SKESA,Enterococcus_faecalis,Contig_170_242.945,46517,60
34,SKESA,Enterococcus_faecalis,Contig_190_241.172,59856,60
35,SKESA,Enterococcus_faecalis,Contig_193_241.908,92343,60
36,SKESA,Enterococcus_faecalis,Contig_226_241.076,62978,60
37,SKESA,Enterococcus_faecalis,Contig_279_242.116,3758,60
38,SKESA,Enterococcus_faecalis,Contig_297_242.752,224114,60
39,SKESA,Enterococcus_faecalis,Contig_323_241.768,63113,60
40,SKESA,Enterococcus_faecalis,Contig_325_241.798,43466,60
41,SKESA,Enterococcus_faecalis,Contig_395_242.462,24811,60
42,SKESA,Enterococcus_faecalis,Contig_396_242.327,61372,60
43,SKESA,Enterococcus_faecalis,Contig_446_328.731,35727,60
44,SKESA,Enterococcus_faecalis,Contig_451_255.045,13082,60
45,SKESA,Enterococcus_faecalis,Contig_480_243.785,132279,60
46,SKESA,Enterococcus_faecalis,Contig_483_242.613,31342,60
47,SKESA,Enterococcus_faecalis,Contig_488_241.225,127539,60
48,SKESA,Enterococcus_faecalis,Contig_494_241.181,443036,60
49,SKESA,Enterococcus_faecalis,Contig_513_243.037,22770,60
50,SKESA,Enterococcus_faecalis,Contig_544_297.715,2913,60
51,SKESA,Enterococcus_faecalis,Contig_545_294.445,3243,60
52,SKESA,Enterococcus_faecalis,Contig_549_474.275,1472,60
53,SKESA,Enterococcus_faecalis,Contig_557_1449.83,1144,60
54,SKESA,Enterococcus_faecalis,Contig_635_245.162,8703,60
55,SKESA,Enterococcus_faecalis,Contig_641_253.81,19576,60
56,SKESA,Enterococcus_faecalis,Contig_683_244.913,128262,60
57,SKESA,Enterococcus_faecalis,Contig_685_260.662,12327,60
58,SKESA,Enterococcus_faecalis,Contig_750_242.891,43490,60
59,SKESA,Enterococcus_faecalis,Contig_817_248.049,87934,60
60,SKESA,Enterococcus_faecalis,Contig_860_240.889,13577,60
61,SKESA,Enterococcus_faecalis,Contig_882_249.252,20120,60
62,SKESA,Enterococcus_faecalis,Contig_884_245.607,30056,60
63,SKESA,Enterococcus_faecalis,Contig_904_241.288,29105,60
64,SKESA,Enterococcus_faecalis,Contig_964_244.867,118697,60
65,SKESA,Enterococcus_faecalis,Contig_969_246.495,23351,60
66,SKESA,Enterococcus_faecalis,Contig_973_243.136,179342,60
67,SKESA,Enterococcus_faecalis,Contig_979_241.341,30371,60
68,SKESA,Enterococcus_faecalis,Contig_981_254.329,19319,60
69,SKESA,Enterococcus_faecalis,Contig_987_243.08,52604,60
70,SKESA,Enterococcus_faecalis,Contig_989_256.028,16315,60
71,SKESA,Enterococcus_faecalis,Contig_990_252.147,1497,60
72,SKESA,Escherichia_coli_plasmid,Contig_67_1341.37,52927,60
73,SKESA,Escherichia_coli_plasmid,Contig_705_1345.9,28069,60
74,SKESA,Escherichia_coli_plasmid,Contig_869_1347.22,26326,60
75,SKESA,Escherichia_coli,Contig_6_236.615,5406,60
76,SKESA,Escherichia_coli,Contig_12_239.401,43375,60
77,SKESA,Escherichia_coli,Contig_28_244.82,31774,60
78,SKESA,Escherichia_coli,Contig_30_268.586,1920,60
79,SKESA,Escherichia_coli,Contig_32_239.338,2308,60
