,index,Sample,Assembler,Contig,Contig Len,Mapped,#N
0,0,LNN,MEGAHIT,k141_929,1306,Pseudomonas_aeruginosa,0
1,1,LNN,MEGAHIT,k141_24,1160,Escherichia_coli,0
2,2,LNN,MEGAHIT,k141_941,2931,Bacillus_subtilis,0
3,3,LNN,MEGAHIT,k141_955,1075,Salmonella_enterica,0
4,4,LNN,MEGAHIT,k141_35,30016,Bacillus_subtilis,0
5,5,LNN,MEGAHIT,k141_36,122571,Bacillus_subtilis,0
6,6,LNN,MEGAHIT,k141_38,15627,Pseudomonas_aeruginosa,0
7,7,LNN,MEGAHIT,k141_39,3320,Pseudomonas_aeruginosa,0
8,8,LNN,MEGAHIT,k141_468,239309,Pseudomonas_aeruginosa,0
9,9,LNN,MEGAHIT,k141_50,115791,Bacillus_subtilis,0
10,10,LNN,MEGAHIT,k141_980,228521,Bacillus_subtilis,0
11,11,LNN,MEGAHIT,k141_996,61872,Bacillus_subtilis,0
12,12,LNN,MEGAHIT,k141_1019,2595,Pseudomonas_aeruginosa,0
13,13,LNN,MEGAHIT,k141_478,104069,Bacillus_subtilis,0
14,14,LNN,MEGAHIT,k141_65,124270,Listeria_monocytogenes,0
15,15,LNN,MEGAHIT,k141_66,1297,Bacillus_subtilis,0
16,16,LNN,MEGAHIT,k141_487,1057,Pseudomonas_aeruginosa,0
17,17,LNN,MEGAHIT,k141_1402,468667,Pseudomonas_aeruginosa,0
18,18,LNN,MEGAHIT,k141_1414,4465,Salmonella_enterica,0
19,19,LNN,MEGAHIT,k141_1426,2682,Pseudomonas_aeruginosa,0
20,20,LNN,MEGAHIT,k141_74,83817,Bacillus_subtilis,0
21,21,LNN,MEGAHIT,k141_1431,46642,Bacillus_subtilis,0
22,22,LNN,MEGAHIT,k141_1434,3990,Pseudomonas_aeruginosa,0
23,23,LNN,MEGAHIT,k141_76,23664,Bacillus_subtilis,0
24,24,LNN,MEGAHIT,k141_120,59070,Bacillus_subtilis,0
25,25,LNN,MEGAHIT,k141_122,1299,Salmonella_enterica,0
26,26,LNN,MEGAHIT,k141_126,1061,Escherichia_coli,0
27,27,LNN,MEGAHIT,k141_495,191447,Pseudomonas_aeruginosa,0
28,28,LNN,MEGAHIT,k141_1024,210993,Pseudomonas_aeruginosa,0
29,29,LNN,MEGAHIT,k141_497,23441,Bacillus_subtilis,0
