,Assembler,Reference,Contig,Contig Length,Phred Quality Score
0,IDBA-UD,Bacillus_subtilis,contig-100_62,45156,60
1,IDBA-UD,Bacillus_subtilis,contig-100_63,44402,60
2,IDBA-UD,Bacillus_subtilis,contig-100_64,44069,37.99035155732588
3,IDBA-UD,Bacillus_subtilis,contig-100_67,42072,46.239931578049045
4,IDBA-UD,Bacillus_subtilis,contig-100_68,41848,43.206447113556344
5,IDBA-UD,Bacillus_subtilis,contig-100_73,36805,33.61786839411713
6,IDBA-UD,Bacillus_subtilis,contig-100_77,34235,60
7,IDBA-UD,Bacillus_subtilis,contig-100_78,33487,39.228162508133195
8,IDBA-UD,Bacillus_subtilis,contig-100_80,32913,45.17367469776649
9,IDBA-UD,Bacillus_subtilis,contig-100_82,31297,60
10,IDBA-UD,Bacillus_subtilis,contig-100_84,29948,44.76367824455387
11,IDBA-UD,Bacillus_subtilis,contig-100_85,29171,44.64951317261733
12,IDBA-UD,Bacillus_subtilis,contig-100_86,28055,39.70889018319661
13,IDBA-UD,Bacillus_subtilis,contig-100_88,26565,60
14,IDBA-UD,Bacillus_subtilis,contig-100_89,26273,60
15,IDBA-UD,Bacillus_subtilis,contig-100_90,26204,44.18367590760488
16,IDBA-UD,Bacillus_subtilis,contig-100_91,25894,44.131991436658524
17,IDBA-UD,Bacillus_subtilis,contig-100_92,25597,44.08189068444666
18,IDBA-UD,Bacillus_subtilis,contig-100_93,25477,60
19,IDBA-UD,Bacillus_subtilis,contig-100_94,25354,60
20,IDBA-UD,Bacillus_subtilis,contig-100_95,25347,60
21,IDBA-UD,Bacillus_subtilis,contig-100_96,25265,36.24368052190687
22,IDBA-UD,Bacillus_subtilis,contig-100_98,24029,60
23,IDBA-UD,Bacillus_subtilis,contig-100_99,23999,43.801931457310026
24,IDBA-UD,Bacillus_subtilis,contig-100_100,23980,60
25,IDBA-UD,Bacillus_subtilis,contig-100_101,23966,60
26,IDBA-UD,Bacillus_subtilis,contig-100_102,23784,60
27,IDBA-UD,Bacillus_subtilis,contig-100_103,23728,43.752611336841305
28,IDBA-UD,Bacillus_subtilis,contig-100_104,23416,40.68482713761753
29,IDBA-UD,Bacillus_subtilis,contig-100_105,23349,60
30,IDBA-UD,Bacillus_subtilis,contig-100_106,23324,60
31,IDBA-UD,Bacillus_subtilis,contig-100_107,22605,60
32,IDBA-UD,Bacillus_subtilis,contig-100_109,22363,60
33,IDBA-UD,Bacillus_subtilis,contig-100_112,22105,60
34,IDBA-UD,Bacillus_subtilis,contig-100_113,22097,60
35,IDBA-UD,Bacillus_subtilis,contig-100_115,21717,43.367998313477685
36,IDBA-UD,Bacillus_subtilis,contig-100_117,21449,60
37,IDBA-UD,Bacillus_subtilis,contig-100_118,21271,31.236679249370965
38,IDBA-UD,Bacillus_subtilis,contig-100_120,21080,43.23870606540904
39,IDBA-UD,Bacillus_subtilis,contig-100_121,20976,60
40,IDBA-UD,Bacillus_subtilis,contig-100_122,20933,60
41,IDBA-UD,Bacillus_subtilis,contig-100_123,20903,38.43087365838608
42,IDBA-UD,Bacillus_subtilis,contig-100_124,20870,40.184924534017114
43,IDBA-UD,Bacillus_subtilis,contig-100_125,20599,43.138461376013396
44,IDBA-UD,Bacillus_subtilis,contig-100_126,20564,40.120775995308676
45,IDBA-UD,Bacillus_subtilis,contig-100_127,20527,60
46,IDBA-UD,Bacillus_subtilis,contig-100_128,20242,60
47,IDBA-UD,Bacillus_subtilis,contig-100_129,19832,42.97366513760119
48,IDBA-UD,Bacillus_subtilis,contig-100_131,19681,38.16925906624102
49,IDBA-UD,Bacillus_subtilis,contig-100_132,19638,60
50,IDBA-UD,Bacillus_subtilis,contig-100_133,19396,60
51,IDBA-UD,Bacillus_subtilis,contig-100_135,19233,38.06925776883739
52,IDBA-UD,Bacillus_subtilis,contig-100_136,19176,60
53,IDBA-UD,Bacillus_subtilis,contig-100_137,19142,42.81987311893447
54,IDBA-UD,Bacillus_subtilis,contig-100_138,18991,31.64604481468999
55,IDBA-UD,Bacillus_subtilis,contig-100_139,18656,42.708185330787714
56,IDBA-UD,Bacillus_subtilis,contig-100_140,18379,60
57,IDBA-UD,Bacillus_subtilis,contig-100_141,18342,60
58,IDBA-UD,Bacillus_subtilis,contig-100_142,18274,60
59,IDBA-UD,Bacillus_subtilis,contig-100_143,18167,42.592832161900745
60,IDBA-UD,Bacillus_subtilis,contig-100_144,17953,60
61,IDBA-UD,Bacillus_subtilis,contig-100_145,17741,39.479481002286306
62,IDBA-UD,Bacillus_subtilis,contig-100_146,17723,34.70385987097972
63,IDBA-UD,Bacillus_subtilis,contig-100_147,17496,60
64,IDBA-UD,Bacillus_subtilis,contig-100_148,17064,60
65,IDBA-UD,Bacillus_subtilis,contig-100_149,16843,60
