,index,Sample,Assembler,Contig,Contig Len,Mapped,#N
0,0,LNN,MINIA,10,1042,Escherichia_coli,0
1,1,LNN,MINIA,13,1053,Escherichia_coli,0
2,2,LNN,MINIA,42,7392,Escherichia_coli,0
3,3,LNN,MINIA,61,1312,Salmonella_enterica,0
4,4,LNN,MINIA,107,1209,Bacillus_subtilis,0
5,5,LNN,MINIA,119,11726,Enterococcus_faecalis,0
6,6,LNN,MINIA,133,11449,Pseudomonas_aeruginosa,0
7,7,LNN,MINIA,166,2539,Salmonella_enterica,0
8,8,LNN,MINIA,171,1399,Escherichia_coli,0
9,9,LNN,MINIA,173,1229,Pseudomonas_aeruginosa,0
10,10,LNN,MINIA,180,1162,Escherichia_coli,0
11,11,LNN,MINIA,189,1429,Escherichia_coli,0
12,12,LNN,MINIA,244,1075,Escherichia_coli,0
13,13,LNN,MINIA,260,1545,Escherichia_coli,0
14,14,LNN,MINIA,280,5650,Pseudomonas_aeruginosa,0
15,15,LNN,MINIA,302,1678,Salmonella_enterica,0
16,16,LNN,MINIA,305,5528,Pseudomonas_aeruginosa,0
17,17,LNN,MINIA,415,1023,Escherichia_coli,0
18,18,LNN,MINIA,419,1563,Escherichia_coli,0
19,19,LNN,MINIA,427,1891,Escherichia_coli,0
20,20,LNN,MINIA,442,1227,Escherichia_coli,0
21,21,LNN,MINIA,446,3647,Escherichia_coli,0
22,22,LNN,MINIA,469,1486,Salmonella_enterica,0
23,23,LNN,MINIA,500,1441,Salmonella_enterica,0
24,24,LNN,MINIA,549,1932,Pseudomonas_aeruginosa,0
25,25,LNN,MINIA,572,1127,Escherichia_coli,0
26,26,LNN,MINIA,605,62153,Staphylococcus_aureus,0
27,27,LNN,MINIA,646,3564,Lactobacillus_fermentum,0
28,28,LNN,MINIA,663,2061,Escherichia_coli,0
29,29,LNN,MINIA,703,34023,Staphylococcus_aureus,0
30,30,LNN,MINIA,705,1041,Pseudomonas_aeruginosa,0
31,31,LNN,MINIA,706,1830,Enterococcus_faecalis,0
32,32,LNN,MINIA,771,2215,Escherichia_coli,0
33,33,LNN,MINIA,795,1094,Escherichia_coli,0
34,34,LNN,MINIA,814,1847,Pseudomonas_aeruginosa,0
35,35,LNN,MINIA,842,5900,Pseudomonas_aeruginosa,0
36,36,LNN,MINIA,875,1552,Escherichia_coli,0
37,37,LNN,MINIA,878,2261,Salmonella_enterica,0
38,38,LNN,MINIA,880,3138,Pseudomonas_aeruginosa,0
39,39,LNN,MINIA,925,5847,Escherichia_coli,0
40,40,LNN,MINIA,933,3201,Lactobacillus_fermentum,0
41,41,LNN,MINIA,984,1433,Escherichia_coli,0
42,42,LNN,MINIA,1015,2032,Salmonella_enterica,0
43,43,LNN,MINIA,1117,1122,Escherichia_coli,0
44,44,LNN,MINIA,1126,64980,Bacillus_subtilis,0
45,45,LNN,MINIA,1175,9207,Pseudomonas_aeruginosa,0
46,46,LNN,MINIA,1198,1048,Escherichia_coli,0
47,47,LNN,MINIA,1255,3229,Lactobacillus_fermentum,0
48,48,LNN,MINIA,1266,1153,Salmonella_enterica,0
49,49,LNN,MINIA,1274,1280,Escherichia_coli,0
50,50,LNN,MINIA,1281,1788,Salmonella_enterica,0
51,51,LNN,MINIA,1291,1181,Escherichia_coli,0
52,52,LNN,MINIA,1303,1624,Escherichia_coli,0
53,53,LNN,MINIA,1310,4857,Escherichia_coli,0
54,54,LNN,MINIA,1341,1163,Salmonella_enterica,0
55,55,LNN,MINIA,1342,9812,Enterococcus_faecalis,0
56,56,LNN,MINIA,1403,2402,Escherichia_coli,0
57,57,LNN,MINIA,1428,21030,Lactobacillus_fermentum,0
58,58,LNN,MINIA,1429,1009,Escherichia_coli,0
59,59,LNN,MINIA,1477,2715,Lactobacillus_fermentum,0
60,60,LNN,MINIA,1502,1260,Escherichia_coli,0
61,61,LNN,MINIA,1504,1502,Escherichia_coli,0
62,62,LNN,MINIA,1545,2321,Staphylococcus_aureus,0
63,63,LNN,MINIA,1567,36936,Listeria_monocytogenes,0
64,64,LNN,MINIA,1590,1026,Escherichia_coli,0
65,65,LNN,MINIA,1604,14310,Lactobacillus_fermentum,0
66,66,LNN,MINIA,1629,2720,Salmonella_enterica,0
67,67,LNN,MINIA,1638,5075,Escherichia_coli,0
68,68,LNN,MINIA,1647,1929,Escherichia_coli,0
69,69,LNN,MINIA,1752,1799,Salmonella_enterica,0
70,70,LNN,MINIA,1763,1243,Escherichia_coli,0
71,71,LNN,MINIA,1776,1652,Lactobacillus_fermentum,0
72,72,LNN,MINIA,1780,3577,Escherichia_coli,0
73,73,LNN,MINIA,1815,2653,Salmonella_enterica,0
74,74,LNN,MINIA,1841,4173,Pseudomonas_aeruginosa,0
75,75,LNN,MINIA,1883,1998,Enterococcus_faecalis,0
76,76,LNN,MINIA,1894,6576,Bacillus_subtilis,0
77,77,LNN,MINIA,1908,6385,Pseudomonas_aeruginosa,0
78,78,LNN,MINIA,1943,1035,Pseudomonas_aeruginosa,0
79,79,LNN,MINIA,1945,1019,Escherichia_coli,0
80,80,LNN,MINIA,1950,1290,Escherichia_coli,0
81,81,LNN,MINIA,1955,2395,Escherichia_coli,0
82,82,LNN,MINIA,1990,11431,Lactobacillus_fermentum,0
83,83,LNN,MINIA,2028,23008,Pseudomonas_aeruginosa,0
84,84,LNN,MINIA,2091,34983,Bacillus_subtilis,0
85,85,LNN,MINIA,2118,2546,Escherichia_coli,0
86,86,LNN,MINIA,2148,13812,Staphylococcus_aureus,0
87,87,LNN,MINIA,2185,1210,Escherichia_coli,0
88,88,LNN,MINIA,2247,1081,Staphylococcus_aureus,0
89,89,LNN,MINIA,2329,1550,Listeria_monocytogenes,0
90,90,LNN,MINIA,2371,1443,Escherichia_coli,0
91,91,LNN,MINIA,2397,1756,Lactobacillus_fermentum,0
92,92,LNN,MINIA,2460,11008,Escherichia_coli,0
93,93,LNN,MINIA,2484,50336,Staphylococcus_aureus,0
94,94,LNN,MINIA,2489,9198,Staphylococcus_aureus,0
95,95,LNN,MINIA,2585,1243,Lactobacillus_fermentum,0
96,96,LNN,MINIA,2633,4391,Pseudomonas_aeruginosa,0
97,97,LNN,MINIA,2650,2949,Escherichia_coli,0
98,98,LNN,MINIA,2655,1758,Escherichia_coli,0
99,99,LNN,MINIA,2718,14376,Listeria_monocytogenes,0
100,100,LNN,MINIA,2741,3659,Staphylococcus_aureus,0
101,101,LNN,MINIA,2785,1599,Escherichia_coli,0
102,102,LNN,MINIA,2811,6717,Enterococcus_faecalis,0
103,103,LNN,MINIA,2820,1110,Salmonella_enterica,0
104,104,LNN,MINIA,2840,2901,Salmonella_enterica,0
105,105,LNN,MINIA,2854,1544,Escherichia_coli,0
106,106,LNN,MINIA,2855,16482,Pseudomonas_aeruginosa,0
107,107,LNN,MINIA,2881,11372,Lactobacillus_fermentum,0
108,108,LNN,MINIA,2905,2782,Escherichia_coli,0
109,109,LNN,MINIA,2909,10554,Salmonella_enterica,0
