,index,Sample,Assembler,Contig,Contig Len,Mapped,#N
0,0,SRR11487941,SPAdes,NODE_1_length_267409_cov_6.752636,267409,NZ_CABWIF010000022.1,0
1,1,SRR11487941,SPAdes,NODE_1_length_267409_cov_6.752636,267409,NZ_CABWIF010000022.1,0
2,2,SRR11487941,SPAdes,NODE_1_length_267409_cov_6.752636,267409,NZ_CABWIF010000022.1,0
3,3,SRR11487941,SPAdes,NODE_1_length_267409_cov_6.752636,267409,NZ_CABWIF010000003.1,0
4,4,SRR11487941,SPAdes,NODE_1_length_267409_cov_6.752636,267409,NZ_CABWIF010000003.1,0
5,5,SRR11487941,SPAdes,NODE_1_length_267409_cov_6.752636,267409,NZ_CABWIF010000003.1,0
6,6,SRR11487941,SPAdes,NODE_1_length_267409_cov_6.752636,267409,NZ_CABWIF010000045.1,0
7,7,SRR11487941,SPAdes,NODE_1_length_267409_cov_6.752636,267409,NZ_CABWIF010000045.1,0
8,8,SRR11487941,SPAdes,NODE_1_length_267409_cov_6.752636,267409,NZ_CABWIF010000045.1,0
9,9,SRR11487941,SPAdes,NODE_1_length_267409_cov_6.752636,267409,NZ_CABWIF010000052.1,0
10,10,SRR11487941,SPAdes,NODE_1_length_267409_cov_6.752636,267409,NZ_CABWIF010000052.1,0
11,11,SRR11487941,SPAdes,NODE_1_length_267409_cov_6.752636,267409,NZ_CABWIF010000052.1,0
12,12,SRR11487941,SPAdes,NODE_2_length_172543_cov_5.244658,172543,NC_018011.1,0
13,13,SRR11487941,SPAdes,NODE_2_length_172543_cov_5.244658,172543,NC_018011.1,0
14,14,SRR11487941,SPAdes,NODE_2_length_172543_cov_5.244658,172543,NC_018011.1,0
15,15,SRR11487941,SPAdes,NODE_3_length_151258_cov_3.937888,151258,CP009072.1,0
16,16,SRR11487941,SPAdes,NODE_3_length_151258_cov_3.937888,151258,CP009072.1,0
17,17,SRR11487941,SPAdes,NODE_3_length_151258_cov_3.937888,151258,CP009072.1,0
18,18,SRR11487941,SPAdes,NODE_4_length_144977_cov_6.537584,144977,NZ_CABWIF010000011.1,0
19,19,SRR11487941,SPAdes,NODE_4_length_144977_cov_6.537584,144977,NZ_CABWIF010000011.1,0
20,20,SRR11487941,SPAdes,NODE_4_length_144977_cov_6.537584,144977,NZ_CABWIF010000011.1,0
21,21,SRR11487941,SPAdes,NODE_5_length_143870_cov_6.466757,143870,NZ_CABWIF010000043.1,0
22,22,SRR11487941,SPAdes,NODE_5_length_143870_cov_6.466757,143870,NZ_CABWIF010000043.1,0
23,23,SRR11487941,SPAdes,NODE_5_length_143870_cov_6.466757,143870,NZ_CABWIF010000043.1,0
24,24,SRR11487941,SPAdes,NODE_6_length_136666_cov_5.681124,136666,CP009072.1,0
25,25,SRR11487941,SPAdes,NODE_6_length_136666_cov_5.681124,136666,CP009072.1,0
