,Sample,Assembler,Reference,Reference Length,Gap Start,Gap End
0,ERR2984773,MINIA,Bacillus_subtilis,4045677.0,38278,39061
1,ERR2984773,MINIA,Bacillus_subtilis,4045677.0,55683,55738
2,ERR2984773,MINIA,Bacillus_subtilis,4045677.0,91345,91369
3,ERR2984773,MINIA,Bacillus_subtilis,4045677.0,130310,130334
4,ERR2984773,MINIA,Bacillus_subtilis,4045677.0,209027,210257
5,ERR2984773,MINIA,Bacillus_subtilis,4045677.0,212127,212181
6,ERR2984773,MINIA,Bacillus_subtilis,4045677.0,233448,234618
7,ERR2984773,MINIA,Bacillus_subtilis,4045677.0,371713,372913
8,ERR2984773,MINIA,Bacillus_subtilis,4045677.0,504996,505312
9,ERR2984773,MINIA,Bacillus_subtilis,4045677.0,605011,605032
10,ERR2984773,MINIA,Bacillus_subtilis,4045677.0,642253,642858
11,ERR2984773,MINIA,Bacillus_subtilis,4045677.0,645069,645763
12,ERR2984773,MINIA,Bacillus_subtilis,4045677.0,718298,718308
13,ERR2984773,MINIA,Bacillus_subtilis,4045677.0,795664,796682
14,ERR2984773,MINIA,Bacillus_subtilis,4045677.0,801414,807702
15,ERR2984773,MINIA,Bacillus_subtilis,4045677.0,813562,813572
16,ERR2984773,MINIA,Bacillus_subtilis,4045677.0,934156,934794
17,ERR2984773,MINIA,Bacillus_subtilis,4045677.0,1059630,1060856
18,ERR2984773,MINIA,Bacillus_subtilis,4045677.0,1227394,1227909
19,ERR2984773,MINIA,Bacillus_subtilis,4045677.0,1261458,1261760
20,ERR2984773,MINIA,Bacillus_subtilis,4045677.0,1264747,1265007
21,ERR2984773,MINIA,Bacillus_subtilis,4045677.0,1266040,1266295
22,ERR2984773,MINIA,Bacillus_subtilis,4045677.0,1269488,1270103
23,ERR2984773,MINIA,Bacillus_subtilis,4045677.0,1355182,1356399
24,ERR2984773,MINIA,Bacillus_subtilis,4045677.0,1414353,1414584
25,ERR2984773,MINIA,Bacillus_subtilis,4045677.0,1444280,1444397
26,ERR2984773,MINIA,Bacillus_subtilis,4045677.0,1532930,1533450
27,ERR2984773,MINIA,Bacillus_subtilis,4045677.0,1671394,1671423
28,ERR2984773,MINIA,Bacillus_subtilis,4045677.0,1672594,1672627
29,ERR2984773,MINIA,Bacillus_subtilis,4045677.0,1709637,1716767
30,ERR2984773,MINIA,Bacillus_subtilis,4045677.0,1754614,1756084
31,ERR2984773,MINIA,Bacillus_subtilis,4045677.0,1838715,1838952
32,ERR2984773,MINIA,Bacillus_subtilis,4045677.0,1994709,1995166
33,ERR2984773,MINIA,Bacillus_subtilis,4045677.0,2002791,2003530
34,ERR2984773,MINIA,Bacillus_subtilis,4045677.0,2019228,2020468
35,ERR2984773,MINIA,Bacillus_subtilis,4045677.0,2257806,2258015
36,ERR2984773,MINIA,Bacillus_subtilis,4045677.0,2269566,2270388
37,ERR2984773,MINIA,Bacillus_subtilis,4045677.0,2339397,2339966
38,ERR2984773,MINIA,Bacillus_subtilis,4045677.0,2416253,2416582
39,ERR2984773,MINIA,Bacillus_subtilis,4045677.0,2490914,2491019
40,ERR2984773,MINIA,Bacillus_subtilis,4045677.0,2494616,2494720
41,ERR2984773,MINIA,Bacillus_subtilis,4045677.0,2728768,2729137
42,ERR2984773,MINIA,Bacillus_subtilis,4045677.0,2743225,2743297
43,ERR2984773,MINIA,Bacillus_subtilis,4045677.0,2761314,2762252
44,ERR2984773,MINIA,Bacillus_subtilis,4045677.0,2788796,2793947
45,ERR2984773,MINIA,Bacillus_subtilis,4045677.0,2801450,2801485
46,ERR2984773,MINIA,Bacillus_subtilis,4045677.0,2809343,2814558
