,index,Sample,Assembler,Contig,Contig Len,Mapped,#N
0,0,ERR2935805,VelvetOptimiser,NODE_711798_length_1456_cov_3.698489,1484,Unmapped,0
1,1,ERR2935805,VelvetOptimiser,NODE_875875_length_1077_cov_10.892293,1105,Bacillus_subtilis,0
2,2,ERR2935805,VelvetOptimiser,NODE_1197674_length_1202_cov_4.333611,1230,Unmapped,0
3,3,ERR2935805,VelvetOptimiser,NODE_1255797_length_1167_cov_3.192802,1195,Unmapped,0
4,4,ERR2935805,VelvetOptimiser,NODE_1298641_length_1054_cov_3.464896,1082,Unmapped,0
5,5,ERR2935805,VelvetOptimiser,NODE_1448313_length_1028_cov_3.064202,1056,Unmapped,0
6,6,ERR2935805,VelvetOptimiser,NODE_1568215_length_981_cov_3.934760,1009,Unmapped,0
7,7,ERR2935805,VelvetOptimiser,NODE_1577494_length_982_cov_6.601833,1010,Unmapped,0
8,8,ERR2935805,VelvetOptimiser,NODE_1586796_length_1066_cov_3.151970,1094,Unmapped,0
9,9,ERR2935805,VelvetOptimiser,NODE_1605440_length_1035_cov_4.000966,1063,Unmapped,0
10,10,ERR2935805,VelvetOptimiser,NODE_1781132_length_993_cov_3.272910,1021,Unmapped,0
11,11,ERR2935805,VelvetOptimiser,NODE_1792167_length_1005_cov_3.325373,1033,Unmapped,0
12,12,ERR2935805,VelvetOptimiser,NODE_1793597_length_1178_cov_3.716469,1206,Unmapped,0
13,13,ERR2935805,VelvetOptimiser,NODE_1813513_length_1026_cov_3.529240,1054,Unmapped,0
14,14,ERR2935805,VelvetOptimiser,NODE_1870706_length_1047_cov_3.974212,1075,Unmapped,0
15,15,ERR2935805,VelvetOptimiser,NODE_1873929_length_1200_cov_5.097500,1228,Unmapped,0
16,16,ERR2935805,VelvetOptimiser,NODE_1897064_length_1347_cov_3.786934,1375,Unmapped,0
17,17,ERR2935805,VelvetOptimiser,NODE_1922317_length_1233_cov_4.989457,1261,Unmapped,0
18,18,ERR2935805,VelvetOptimiser,NODE_1922519_length_1531_cov_5.256695,1559,Unmapped,0
19,19,ERR2935805,VelvetOptimiser,NODE_1936422_length_1166_cov_3.457976,1194,Unmapped,0
20,20,ERR2935805,VelvetOptimiser,NODE_1940689_length_1008_cov_2.832341,1036,Unmapped,0
21,21,ERR2935805,VelvetOptimiser,NODE_1954209_length_1098_cov_4.038251,1126,Unmapped,0
22,22,ERR2935805,VelvetOptimiser,NODE_1975553_length_1109_cov_4.090171,1137,Unmapped,0
23,23,ERR2935805,VelvetOptimiser,NODE_1976238_length_1498_cov_3.439252,1526,Unmapped,0
24,24,ERR2935805,VelvetOptimiser,NODE_1977584_length_1201_cov_4.410491,1229,Unmapped,0
25,25,ERR2935805,VelvetOptimiser,NODE_1981299_length_1189_cov_4.037006,1217,Unmapped,0
26,26,ERR2935805,VelvetOptimiser,NODE_1986801_length_1373_cov_3.313911,1401,Unmapped,0
27,27,ERR2935805,VelvetOptimiser,NODE_1991027_length_1018_cov_4.152259,1046,Unmapped,0
28,28,ERR2935805,VelvetOptimiser,NODE_1994165_length_1058_cov_4.014178,1086,Unmapped,0
29,29,ERR2935805,VelvetOptimiser,NODE_2007519_length_1066_cov_3.767354,1094,Unmapped,0
30,30,ERR2935805,VelvetOptimiser,NODE_2035663_length_1468_cov_3.262943,1496,Unmapped,0
31,31,ERR2935805,VelvetOptimiser,NODE_2044405_length_1277_cov_3.238058,1305,Unmapped,0
32,32,ERR2935805,VelvetOptimiser,NODE_2064803_length_1020_cov_3.740196,1048,Unmapped,0
33,33,ERR2935805,VelvetOptimiser,NODE_2065010_length_1027_cov_2.823759,1055,Unmapped,0
34,34,ERR2935805,VelvetOptimiser,NODE_2097752_length_1192_cov_3.412752,1220,Unmapped,0
35,35,ERR2935805,VelvetOptimiser,NODE_2122048_length_972_cov_3.200617,1000,Unmapped,0
36,36,ERR2935805,VelvetOptimiser,NODE_2124422_length_982_cov_4.595723,1010,Unmapped,0
37,37,ERR2935805,VelvetOptimiser,NODE_2127748_length_1391_cov_3.675773,1419,Unmapped,0
38,38,ERR2935805,VelvetOptimiser,NODE_2132137_length_1455_cov_3.600000,1483,Unmapped,0
39,39,ERR2935805,VelvetOptimiser,NODE_2165417_length_1252_cov_3.836262,1280,Unmapped,0
40,40,ERR2935805,VelvetOptimiser,NODE_2166113_length_1001_cov_11.856144,1029,Bacillus_subtilis,0
41,41,ERR2935805,VelvetOptimiser,NODE_2190533_length_1019_cov_8.620216,1047,Bacillus_subtilis,0
42,42,ERR2935805,VelvetOptimiser,NODE_2202235_length_1009_cov_9.879088,1037,Bacillus_subtilis,0
43,43,ERR2935805,VelvetOptimiser,NODE_2206068_length_1250_cov_4.160800,1278,Unmapped,0
44,44,ERR2935805,VelvetOptimiser,NODE_2207117_length_1438_cov_4.271210,1466,Unmapped,0
45,45,ERR2935805,VelvetOptimiser,NODE_2211661_length_1313_cov_3.053313,1341,Unmapped,0
46,46,ERR2935805,VelvetOptimiser,NODE_2223394_length_1247_cov_3.230954,1275,Unmapped,0
47,47,ERR2935805,VelvetOptimiser,NODE_2225542_length_1106_cov_4.077758,1134,Unmapped,0
