Reference,Breadth of Coverage,Contigs
Bacillus_subtilis,0.6858248940782964,1461
Enterococcus_faecalis,0.35010009165696676,694
Escherichia_coli_plasmid,0.0,0
Escherichia_coli,0.5708999432160848,1504
Lactobacillus_fermentum,0.040303715938368775,64
Listeria_monocytogenes,0.4155627932903391,831
Pseudomonas_aeruginosa,0.8876126454397828,1944
Salmonella_enterica,0.5785249885182949,1512
Staphylococcus_aureus,0.2966275314663194,577
Staphylococcus_aureus_plasmid1,0.0,0
Staphylococcus_aureus_plasmid2,0.0,0
Staphylococcus_aureus_plasmid3,0.0,0
